date;dca;dva (no withdraw);dva (full);lump-sum;lump-sum mid-year
01-01-2018;0;0;0;0;0
02-01-2018;50;50;50;2600;0
03-01-2018;54;54;54;2794;0
04-01-2018;53;53;53;2733;0
05-01-2018;50;50;50;2610;0
06-01-2018;59;59;59;3070;0
07-01-2018;60;60;60;3115;0
08-01-2018;53;53;53;2747;0
09-01-2018;104;100;100;2803;0
10-01-2018;102;99;99;2765;0
11-01-2018;89;86;86;2411;0
12-01-2018;99;96;96;2677;0
13-01-2018;106;102;102;2848;0
14-01-2018;100;97;97;2709;0
15-01-2018;104;100;100;2811;0
16-01-2018;130;150;150;2170;0
17-01-2018;130;150;150;2164;0
18-01-2018;129;148;148;2146;0
19-01-2018;149;171;171;2473;0
20-01-2018;156;180;180;2603;0
21-01-2018;141;162;162;2340;0
22-01-2018;129;148;148;2142;0
23-01-2018;176;200;200;2092;0
24-01-2018;181;206;206;2152;0
25-01-2018;181;206;206;2150;0
26-01-2018;184;210;210;2195;0
27-01-2018;183;208;208;2179;0
28-01-2018;189;215;215;2252;0
29-01-2018;180;205;205;2147;0
30-01-2018;206;250;250;1858;0
31-01-2018;205;249;249;1850;0
01-02-2018;181;220;220;1634;0
02-02-2018;177;215;215;1598;0
03-02-2018;189;230;230;1706;0
04-02-2018;166;202;202;1499;0
05-02-2018;135;164;164;1217;0
06-02-2018;210;300;300;1440;0
07-02-2018;205;293;293;1406;0
08-02-2018;244;349;349;1676;0
09-02-2018;257;368;368;1766;0
10-02-2018;247;353;353;1695;0
11-02-2018;227;324;324;1556;0
12-02-2018;245;350;350;1679;0
13-02-2018;282;350;350;1591;0
14-02-2018;332;413;413;1876;0
15-02-2018;364;452;452;2056;0
16-02-2018;356;442;442;2010;0
17-02-2018;391;486;486;2208;0
18-02-2018;360;448;448;2035;0
19-02-2018;380;472;472;2146;0
20-02-2018;416;454;454;2064;0
21-02-2018;440;481;478;2188;0
22-02-2018;386;422;426;1917;0
23-02-2018;390;426;429;1937;0
24-02-2018;374;408;414;1857;0
25-02-2018;384;419;423;1906;0
26-02-2018;401;438;440;1991;0
27-02-2018;463;451;504;2052;0
28-02-2018;437;426;479;1937;0
01-03-2018;481;468;521;2130;0
02-03-2018;528;514;567;2338;0
03-03-2018;540;526;579;2393;0
04-03-2018;565;550;603;2502;0
05-03-2018;571;557;609;2531;0
06-03-2018;580;517;569;2349;0
07-03-2018;568;506;559;2300;0
08-03-2018;467;416;471;1889;0
09-03-2018;482;430;485;1954;0
10-03-2018;430;383;440;1743;0
11-03-2018;473;421;477;1915;0
12-03-2018;434;387;444;1759;0
13-03-2018;465;550;619;1682;0
14-03-2018;404;478;547;1462;0
15-03-2018;400;473;542;1446;0
16-03-2018;405;478;547;1463;0
17-03-2018;371;439;508;1342;0
18-03-2018;393;465;534;1422;0
19-03-2018;407;481;550;1470;0
20-03-2018;470;600;669;1517;0
21-03-2018;459;586;656;1483;0
22-03-2018;447;570;640;1442;0
23-03-2018;449;574;643;1451;0
24-03-2018;439;561;630;1418;0
25-03-2018;445;568;637;1436;0
26-03-2018;414;529;598;1337;0
27-03-2018;445;650;719;1274;0
28-03-2018;471;689;758;1351;0
29-03-2018;418;612;681;1199;0
30-03-2018;408;596;665;1169;0
31-03-2018;425;621;690;1218;0
01-04-2018;415;607;676;1190;0
02-04-2018;420;614;683;1204;0
03-04-2018;498;700;769;1285;0
04-04-2018;447;628;697;1153;0
05-04-2018;456;640;709;1175;0
06-04-2018;426;598;668;1099;0
07-04-2018;447;628;697;1154;0
08-04-2018;457;643;712;1180;0
09-04-2018;439;617;686;1133;0
