date;dca;dva (no withdraw);dva (full);lump-sum;lump-sum mid-year
01-01-2017;0;0;0;0;0
02-01-2017;0;0;0;0;0
03-01-2017;50;50;50;2600;0
04-01-2017;58;58;58;2993;0
05-01-2017;50;50;50;2615;0
06-01-2017;44;44;44;2267;0
07-01-2017;41;41;41;2111;0
08-01-2017;42;42;42;2177;0
09-01-2017;43;43;43;2219;0
10-01-2017;92;100;100;2164;0
11-01-2017;80;87;87;1880;0
12-01-2017;81;89;89;1915;0
13-01-2017;77;84;84;1821;0
14-01-2017;76;83;83;1791;0
15-01-2017;74;80;80;1739;0
16-01-2017;73;79;79;1719;0
17-01-2017;135;150;150;2002;0
18-01-2017;131;146;146;1947;0
19-01-2017;132;147;147;1963;0
20-01-2017;130;144;144;1924;0
21-01-2017;131;146;146;1943;0
22-01-2017;133;148;148;1968;0
23-01-2017;133;148;148;1979;0
24-01-2017;178;200;200;1909;0
25-01-2017;179;200;200;1911;0
26-01-2017;181;203;203;1936;0
27-01-2017;183;205;205;1954;0
28-01-2017;194;217;217;2076;0
29-01-2017;191;214;214;2045;0
30-01-2017;192;215;215;2053;0
31-01-2017;246;250;250;2098;0
01-02-2017;252;255;255;2144;0
02-02-2017;249;253;253;2122;0
03-02-2017;244;248;248;2078;0
04-02-2017;239;243;243;2038;0
05-02-2017;243;246;246;2068;0
06-02-2017;244;248;248;2082;0
07-02-2017;290;300;300;2044;0
08-02-2017;293;304;304;2069;0
09-02-2017;278;288;288;1959;0
10-02-2017;274;284;284;1935;0
11-02-2017;281;290;290;1978;0
12-02-2017;283;292;292;1992;0
13-02-2017;279;289;289;1971;0
14-02-2017;348;350;350;2099;0
15-02-2017;364;367;367;2200;0
16-02-2017;351;353;353;2117;0
17-02-2017;356;358;358;2148;0
18-02-2017;358;360;360;2159;0
19-02-2017;348;350;350;2099;0
20-02-2017;327;329;329;1974;0
21-02-2017;380;400;400;1993;0
22-02-2017;393;414;414;2062;0
23-02-2017;397;417;417;2080;0
24-02-2017;367;387;387;1926;0
25-02-2017;365;384;384;1914;0
26-02-2017;366;385;385;1921;0
27-02-2017;369;388;388;1932;0
28-02-2017;428;450;450;1983;0
01-03-2017;430;452;452;1992;0
02-03-2017;457;481;481;2119;0
03-03-2017;485;510;510;2247;0
04-03-2017;477;501;501;2209;0
05-03-2017;530;556;556;2453;0
06-03-2017;538;565;565;2490;0
07-03-2017;522;500;500;2187;0
08-03-2017;481;461;461;2015;0
09-03-2017;503;481;481;2105;0
10-03-2017;510;488;488;2135;0
11-03-2017;567;543;543;2373;0
12-03-2017;648;620;620;2713;0
13-03-2017;700;670;670;2930;0
14-03-2017;735;656;656;2869;0
15-03-2017;786;701;694;3067;0
16-03-2017;931;831;802;3632;0
17-03-2017;925;826;798;3611;0
18-03-2017;831;741;728;3242;0
19-03-2017;964;860;827;3762;0
20-03-2017;932;832;803;3636;0
21-03-2017;931;786;765;3439;0
22-03-2017;937;791;769;3461;0
23-03-2017;955;806;780;3526;0
24-03-2017;923;779;760;3408;0
25-03-2017;881;744;733;3253;0
26-03-2017;858;725;718;3169;0
27-03-2017;860;726;720;3177;0
28-03-2017;916;732;815;3200;0
29-03-2017;978;781;859;3416;0
30-03-2017;966;771;851;3373;0
31-03-2017;950;759;839;3318;0
01-04-2017;995;794;871;3473;0
02-04-2017;932;744;826;3254;0
03-04-2017;941;751;832;3284;0
04-04-2017;1038;789;866;3450;0
05-04-2017;954;725;809;3169;0
06-04-2017;937;712;798;3113;0
07-04-2017;942;716;802;3132;0
08-04-2017;1013;770;849;3365;0
09-04-2017;1005;764;844;3341;0
10-04-2017;1061;806;882;3527;0
11-04-2017;1088;789;916;3450;0
12-04-2017;1109;804;930;3516;0
13-04-2017;1094;794;920;3470;0
14-04-2017;1049;761;889;3327;0
15-04-2017;1055;765;893;3346;0
16-04-2017;1042;756;885;3305;0
17-04-2017;1048;760;888;3322;0
18-04-2017;1123;800;966;3402;0
19-04-2017;1088;775;941;3295;0
20-04-2017;1079;769;935;3270;0
21-04-2017;1082;771;937;3279;0
22-04-2017;1073;764;931;3251;0
23-04-2017;1051;749;915;3186;0
24-04-2017;1043;743;909;3160;0
25-04-2017;1098;850;1016;3175;0
26-04-2017;1082;838;1004;3130;0
27-04-2017;1185;917;1083;3426;0
28-04-2017;1249;967;1133;3611;0
29-04-2017;1272;985;1151;3678;0
30-04-2017;1325;1026;1192;3833;0
01-05-2017;1272;985;1151;3678;0
02-05-2017;1337;997;1163;3723;0
03-05-2017;1463;1090;1247;4071;0
04-05-2017;1508;1124;1278;4198;0
05-05-2017;1651;1231;1374;4597;0
06-05-2017;1682;1253;1394;4681;0
07-05-2017;1903;1418;1543;5296;0
08-05-2017;1768;1318;1453;4923;0
09-05-2017;1713;1240;1382;4630;0
10-05-2017;1784;1291;1421;4821;0
11-05-2017;1764;1276;1410;4768;0
12-05-2017;1715;1240;1383;4633;0
13-05-2017;1702;1231;1376;4600;0
14-05-2017;1706;1234;1378;4610;0
15-05-2017;1661;1202;1353;4489;0
16-05-2017;1620;1136;1432;4243;0
17-05-2017;1661;1165;1457;4350;0
18-05-2017;1871;1312;1587;4900;0
19-05-2017;1966;1378;1646;5149;0
20-05-2017;2165;1518;1768;5670;0
21-05-2017;2137;1498;1751;5597;0
22-05-2017;2231;1564;1809;5843;0
23-05-2017;3481;2406;2550;8986;0
24-05-2017;2840;1963;2357;7332;0
25-05-2017;2511;1735;2257;6481;0
26-05-2017;2423;1674;2231;6254;0
27-05-2017;2091;1445;2131;5398;0
28-05-2017;2306;1593;2195;5952;0
29-05-2017;2579;1782;2278;6658;0
30-05-2017;2540;1721;2600;6428;0
31-05-2017;2670;1809;2656;6757;0
01-06-2017;2790;1890;2708;7061;0
02-06-2017;2809;1903;2717;7109;0
03-06-2017;2705;1833;2671;6845;0
04-06-2017;2739;1855;2686;6931;0
05-06-2017;3081;2087;2834;7797;0
06-06-2017;3598;2403;3036;8978;0
07-06-2017;3401;2272;2973;8488;0
08-06-2017;3638;2430;3049;9079;0
09-06-2017;3601;2406;3037;8987;0
10-06-2017;3385;2261;2968;8447;0
11-06-2017;3801;2539;3101;9484;0
12-06-2017;3240;2164;2922;8085;0
13-06-2017;3404;2241;3086;8370;0
14-06-2017;3043;2003;2959;7481;0
15-06-2017;3024;1991;2952;7436;0
16-06-2017;3161;2081;3001;7772;0
17-06-2017;3316;2182;3055;8152;0
18-06-2017;3259;2145;3035;8014;0
19-06-2017;3226;2123;3023;7931;0
20-06-2017;3209;2080;3136;7768;0
21-06-2017;3110;2015;3097;7527;0
22-06-2017;3156;2045;3115;7639;0
23-06-2017;3431;2224;3223;8306;0
24-06-2017;3206;2078;3135;7761;0
25-06-2017;3063;1985;3079;7414;0
26-06-2017;2903;1881;3017;7027;0
27-06-2017;2958;1885;3186;7040;0
28-06-2017;3213;2047;3298;7646;0
29-06-2017;3057;1947;3230;7274;0
30-06-2017;2969;1891;3191;7065;0
01-07-2017;2781;1771;3108;6617;0
02-07-2017;2906;1851;3163;6914;0
03-07-2017;2962;1887;3188;7048;0
04-07-2017;3137;1967;3243;7346;2600
05-07-2017;3155;1977;3250;7387;2614
06-07-2017;3458;2168;3381;8097;2866
07-07-2017;3053;1914;3207;7149;2530
08-07-2017;3181;1994;3262;7448;2636
09-07-2017;3094;1940;3224;7246;2565
10-07-2017;2760;1730;3081;6464;2288
11-07-2017;2612;1606;3293;6000;2123
12-07-2017;2841;1747;3415;6525;2309
13-07-2017;2689;1653;3334;6176;2186
14-07-2017;2496;1535;3230;5732;2029
15-07-2017;2258;1388;3103;5185;1835
16-07-2017;2070;1273;3002;4755;1683
17-07-2017;2450;1506;3206;5627;1992
18-07-2017;2609;1574;3343;5878;2080
19-07-2017;2515;1517;3290;5665;2005
20-07-2017;2890;1743;3499;6511;2304
21-07-2017;2893;1745;3501;6518;2307
22-07-2017;3206;1934;3675;7223;2556
23-07-2017;3060;1845;3593;6893;2440
24-07-2017;3269;1971;3709;7364;2606
25-07-2017;2967;1759;3514;6572;2326
26-07-2017;3341;1981;3703;7400;2619
27-07-2017;3300;1957;3682;7309;2587
28-07-2017;3207;1901;3635;7102;2514
29-07-2017;3202;1898;3633;7091;2510
30-07-2017;2890;1714;3475;6401;2265
31-07-2017;2906;1723;3483;6436;2278
01-08-2017;3270;1909;3642;7132;2524
02-08-2017;3232;1887;3624;7049;2495
03-08-2017;3212;1875;3614;7005;2479
04-08-2017;3343;1952;3676;7290;2580
05-08-2017;3599;2101;3798;7848;2778
06-08-2017;3543;2069;3771;7728;2735
07-08-2017;3719;2171;3855;8111;2871
08-08-2017;3898;2247;3916;8392;2970
09-08-2017;3824;2204;3885;8234;2914
10-08-2017;3712;2140;3840;7993;2829
11-08-2017;3801;2191;3876;8183;2896
12-08-2017;3705;2135;3836;7976;2823
13-08-2017;3584;2066;3787;7716;2731
14-08-2017;3734;2152;3848;8038;2845
15-08-2017;3708;2108;3966;7875;2787
16-08-2017;3711;2110;3967;7881;2789
17-08-2017;3609;2052;3922;7666;2713
18-08-2017;3551;2019;3896;7543;2670
19-08-2017;4257;2420;4210;9041;3200
20-08-2017;4161;2366;4168;8839;3128
21-08-2017;5920;3366;4950;12573;4450
22-08-2017;6984;3943;5401;14728;5213
23-08-2017;6920;3907;5386;14593;5165
24-08-2017;6611;3732;5311;13941;4934
25-08-2017;8295;4683;5720;17491;6191
26-08-2017;10577;5971;6276;22303;7894
27-08-2017;10012;5652;6138;21112;7472
28-08-2017;11140;6289;6413;23492;8314
29-08-2017;10243;5754;6182;21493;7607
30-08-2017;10192;5726;6174;21387;7570
31-08-2017;10810;6073;6279;22684;8029
01-09-2017;10871;6107;6290;22812;8074
02-09-2017;9609;5398;6074;20164;7136
03-09-2017;9701;5450;6090;20358;7205
04-09-2017;8174;4592;5829;17153;6071
05-09-2017;9198;5139;6232;19197;6794
06-09-2017;9416;5261;6275;19651;6955
07-09-2017;9355;5227;6263;19524;6910
08-09-2017;9138;5106;6221;19071;6750
09-09-2017;9000;5029;6194;18784;6648
10-09-2017;8695;4858;6134;18148;6423
11-09-2017;8728;4876;6140;18215;6447
12-09-2017;8712;4839;6282;18077;6398
13-09-2017;8668;4815;6273;17987;6366
14-09-2017;6465;3592;5805;13416;4748
15-09-2017;7775;4319;6083;16133;5710
16-09-2017;7419;4121;6008;15395;5449
17-09-2017;7299;4055;5982;15146;5360
18-09-2017;7830;4350;6095;16248;5751
19-09-2017;7658;4226;6332;15788;5588
20-09-2017;7490;4134;6291;15440;5465
21-09-2017;6759;3730;6109;13934;4932
22-09-2017;6910;3814;6147;14246;5042
23-09-2017;7198;3972;6218;14839;5252
24-09-2017;7014;3871;6173;14460;5118
25-09-2017;7339;4050;6253;15129;5354
26-09-2017;7348;4028;6382;15046;5325
27-09-2017;7973;4370;6548;16325;5778
28-09-2017;7672;4205;6468;15709;5560
29-09-2017;7457;4087;6411;15268;5404
30-09-2017;7556;4142;6437;15471;5475
01-10-2017;7356;4032;6384;15061;5330
02-10-2017;7224;3959;6349;14790;5235
03-10-2017;7385;4021;6432;15019;5316
04-10-2017;7182;3910;6377;14606;5170
05-10-2017;7298;3973;6409;14841;5253
06-10-2017;7245;3944;6394;14733;5214
07-10-2017;7285;3966;6405;14816;5244
08-10-2017;7132;3883;6364;14504;5133
09-10-2017;6791;3697;6272;13811;4888
10-10-2017;6948;3755;6482;14027;4964
11-10-2017;6996;3781;6497;14124;4999
12-10-2017;6969;3767;6489;14071;4980
13-10-2017;7613;4115;6679;15370;5440
14-10-2017;8021;4335;6799;16193;5731
15-10-2017;7591;4103;6672;15327;5424
16-10-2017;7674;4148;6697;15494;5484
17-10-2017;7355;3948;6588;14748;5220
18-10-2017;7214;3873;6548;14467;5120
19-10-2017;7140;3833;6527;14318;5068
20-10-2017;7295;3916;6571;14628;5177
21-10-2017;7100;3811;6515;14237;5039
22-10-2017;6976;3745;6480;13988;4951
23-10-2017;6865;3685;6448;13767;4872
24-10-2017;7172;3824;6638;14282;5055
25-10-2017;7150;3812;6631;14238;5039
26-10-2017;7187;3831;6642;14311;5065
27-10-2017;7038;3752;6597;14015;4960
28-10-2017;7002;3733;6587;13944;4935
29-10-2017;7193;3834;6644;14323;5069
30-10-2017;7208;3842;6648;14353;5080
31-10-2017;7161;3791;6688;14160;5012
01-11-2017;7003;3707;6639;13849;4901
02-11-2017;6844;3623;6590;13533;4790
03-11-2017;7189;3806;6696;14215;5031
04-11-2017;7133;3776;6679;14105;4992
05-11-2017;7055;3735;6655;13950;4937
06-11-2017;8409;4451;7071;16627;5885
07-11-2017;8201;4315;6992;16118;5705
08-11-2017;9315;4901;7298;18307;6479
09-11-2017;9929;5224;7466;19513;6906
10-11-2017;8680;4567;7123;17059;6037
11-11-2017;9833;5174;7440;19325;6840
12-11-2017;10182;5357;7535;20010;7082
13-11-2017;10144;5337;7525;19937;7056
14-11-2017;10108;5292;7501;19768;6996
15-11-2017;10027;5250;7483;19609;6940
16-11-2017;9939;5203;7463;19437;6879
17-11-2017;10467;5480;7583;20470;7245
18-11-2017;10806;5657;7660;21132;7479
19-11-2017;10697;5600;7635;20919;7404
20-11-2017;11216;5872;7753;21934;7763
21-11-2017;11760;6130;7866;22899;8105
22-11-2017;13768;7178;8267;26811;9489
23-11-2017;13159;6860;8145;25625;9069
24-11-2017;13277;6921;8169;25854;9150
25-11-2017;13975;7285;8309;27214;9632
26-11-2017;13555;7066;8225;26395;9342
27-11-2017;14386;7499;8391;28014;9915
28-11-2017;16910;8789;8885;32831;11620
29-11-2017;13992;7273;8471;27167;9615
30-11-2017;14990;7791;8612;29103;10300
01-12-2017;15889;8258;8740;30848;10918
02-12-2017;16895;8782;8883;32803;11610
03-12-2017;16647;8653;8848;32321;11439
04-12-2017;17495;9093;8968;33967;12022
