date;dca;dva (no withdraw);dva (full);lump-sum;lump-sum mid-year
01-01-2020;0;0;0;0;0
02-01-2020;0;0;0;0;0
03-01-2020;0;0;0;0;0
04-01-2020;0;0;0;0;0
05-01-2020;0;0;0;0;0
06-01-2020;0;0;0;0;0
07-01-2020;50;50;50;2600;0
08-01-2020;51;51;51;2629;0
09-01-2020;50;50;50;2617;0
10-01-2020;50;50;50;2589;0
11-01-2020;50;50;50;2584;0
12-01-2020;50;50;50;2622;0
13-01-2020;49;49;49;2564;0
14-01-2020;103;100;100;2777;0
15-01-2020;112;109;109;3021;0
16-01-2020;108;105;105;2903;0
17-01-2020;114;110;110;3058;0
18-01-2020;111;107;107;2970;0
19-01-2020;107;104;104;2879;0
20-01-2020;107;103;103;2873;0
21-01-2020;159;150;150;2916;0
22-01-2020;156;148;148;2875;0
23-01-2020;150;142;142;2764;0
24-01-2020;148;140;140;2730;0
25-01-2020;148;140;140;2720;0
26-01-2020;154;145;145;2823;0
27-01-2020;158;149;149;2899;0
28-01-2020;213;200;200;2994;0
29-01-2020;220;207;207;3096;0
30-01-2020;236;221;221;3314;0
31-01-2020;227;213;213;3187;0
01-02-2020;230;217;217;3242;0
02-02-2020;236;222;222;3317;0
03-02-2020;241;227;227;3396;0
04-02-2020;287;250;250;3327;0
05-02-2020;297;259;259;3448;0
06-02-2020;297;259;259;3452;0
07-02-2020;303;264;264;3517;0
08-02-2020;307;268;268;3566;0
09-02-2020;334;291;291;3873;0
10-02-2020;323;282;282;3750;0
11-02-2020;392;300;300;3970;0
12-02-2020;416;318;318;4210;0
13-02-2020;403;309;309;4087;0
14-02-2020;414;317;317;4191;0
15-02-2020;388;297;297;3929;0
16-02-2020;386;295;295;3908;0
17-02-2020;360;275;275;3642;0
18-02-2020;426;350;350;3806;0
19-02-2020;387;318;318;3456;0
20-02-2020;379;311;311;3386;0
21-02-2020;398;327;327;3554;0
22-02-2020;391;322;322;3496;0
23-02-2020;420;346;346;3757;0
24-02-2020;391;322;322;3498;0
25-02-2020;430;400;400;3395;0
26-02-2020;397;369;369;3133;0
27-02-2020;391;364;364;3086;0
28-02-2020;381;355;355;3012;0
29-02-2020;372;346;346;2939;0
01-03-2020;362;337;337;2862;0
02-03-2020;383;357;357;3027;0
03-03-2020;419;450;450;2919;0
04-03-2020;418;449;449;2910;0
05-03-2020;436;468;468;3034;0
06-03-2020;438;470;470;3046;0
07-03-2020;416;446;446;2893;0
08-03-2020;358;384;384;2492;0
09-03-2020;351;377;377;2442;0
10-03-2020;399;500;500;2429;0
11-03-2020;393;492;492;2392;0
12-03-2020;240;300;300;1459;0
13-03-2020;268;335;335;1628;0
14-03-2020;263;330;330;1601;0
15-03-2020;276;346;346;1683;0
16-03-2020;246;308;308;1495;0
17-03-2020;307;550;550;1563;0
18-03-2020;312;559;559;1588;0
19-03-2020;357;639;639;1817;0
20-03-2020;348;624;624;1773;0
21-03-2020;357;640;640;1819;0
22-03-2020;333;596;596;1695;0
23-03-2020;383;686;686;1951;0
24-03-2020;459;734;734;2086;0
25-03-2020;458;732;732;2080;0
26-03-2020;489;780;772;2219;0
27-03-2020;472;753;750;2142;0
28-03-2020;459;733;733;2083;0
29-03-2020;429;686;695;1950;0
30-03-2020;455;728;729;2068;0
31-03-2020;515;743;784;2112;0
01-04-2020;523;754;794;2144;0
02-04-2020;547;789;824;2244;0
03-04-2020;571;823;854;2341;0
04-04-2020;585;844;872;2399;0
05-04-2020;577;832;861;2364;0
06-04-2020;629;908;928;2581;0
07-04-2020;653;870;895;2472;0
08-04-2020;672;895;915;2544;0
09-04-2020;683;910;927;2586;0
10-04-2020;626;834;866;2370;0
11-04-2020;626;833;865;2368;0
12-04-2020;630;839;870;2386;0
13-04-2020;618;823;857;2341;0
14-04-2020;679;837;945;2380;0
15-04-2020;670;827;935;2350;0
16-04-2020;717;885;987;2515;0
17-04-2020;717;885;987;2515;0
18-04-2020;731;902;1002;2563;0
19-04-2020;724;893;995;2539;0
20-04-2020;694;856;962;2434;0
21-04-2020;748;861;995;2448;0
22-04-2020;768;884;1016;2512;0
23-04-2020;795;915;1044;2600;0
24-04-2020;824;948;1075;2695;0
25-04-2020;820;944;1072;2684;0
26-04-2020;827;952;1079;2707;0
27-04-2020;843;970;1096;2758;0
28-04-2020;894;972;1098;2763;0
29-04-2020;952;1035;1153;2942;0
30-04-2020;894;972;1097;2762;0
01-05-2020;912;992;1115;2819;0
02-05-2020;925;1005;1126;2857;0
03-05-2020;893;971;1097;2760;0
04-05-2020;876;953;1081;2708;0
05-05-2020;914;939;1148;2669;0
06-05-2020;886;910;1120;2588;0
07-05-2020;977;1004;1210;2853;0
08-05-2020;964;991;1197;2816;0
09-05-2020;957;983;1190;2795;0
10-05-2020;891;915;1125;2602;0
11-05-2020;902;926;1135;2633;0
12-05-2020;980;955;1198;2716;0
13-05-2020;1035;1009;1251;2867;0
14-05-2020;1043;1017;1259;2892;0
15-05-2020;1003;978;1220;2779;0
16-05-2020;1042;1016;1258;2889;0
17-05-2020;1040;1014;1256;2883;0
18-05-2020;1069;1042;1284;2963;0
19-05-2020;1110;1034;1275;2938;0
20-05-2020;1081;1006;1249;2861;0
21-05-2020;1032;961;1205;2731;0
22-05-2020;1055;982;1225;2792;0
23-05-2020;1066;993;1236;2822;0
24-05-2020;1022;952;1196;2705;0
25-05-2020;1029;958;1203;2724;0
26-05-2020;1082;1050;1325;2732;0
27-05-2020;1130;1097;1372;2853;0
28-05-2020;1175;1139;1415;2965;0
29-05-2020;1160;1125;1401;2928;0
30-05-2020;1197;1161;1436;3022;0
31-05-2020;1139;1105;1381;2876;0
01-06-2020;1184;1149;1424;2990;0
02-06-2020;1214;1130;1405;2939;0
03-06-2020;1226;1140;1415;2968;0
04-06-2020;1245;1158;1433;3014;0
05-06-2020;1236;1150;1425;2992;0
06-06-2020;1235;1148;1423;2988;0
07-06-2020;1217;1132;1407;2944;0
08-06-2020;1246;1159;1434;3016;0
09-06-2020;1297;1160;1455;3018;0
10-06-2020;1323;1183;1478;3079;0
11-06-2020;1214;1086;1381;2825;0
12-06-2020;1251;1118;1414;2910;0
13-06-2020;1265;1132;1427;2945;0
14-06-2020;1249;1117;1412;2906;0
15-06-2020;1229;1099;1394;2860;0
16-06-2020;1303;1200;1505;2915;0
17-06-2020;1288;1187;1491;2882;0
18-06-2020;1286;1184;1489;2877;0
19-06-2020;1263;1163;1468;2826;0
20-06-2020;1263;1164;1468;2826;0
21-06-2020;1275;1175;1479;2853;0
22-06-2020;1302;1200;1505;2914;0
23-06-2020;1372;1250;1555;2959;0
24-06-2020;1330;1211;1516;2867;0
25-06-2020;1320;1202;1507;2846;0
26-06-2020;1312;1195;1499;2828;0
27-06-2020;1278;1164;1469;2755;0
28-06-2020;1298;1182;1487;2799;0
29-06-2020;1316;1198;1503;2837;0
30-06-2020;1353;1300;1605;2809;0
01-07-2020;1375;1322;1627;2856;0
02-07-2020;1403;1348;1653;2913;0
03-07-2020;1336;1284;1589;2774;0
04-07-2020;1365;1312;1617;2835;0
05-07-2020;1346;1294;1598;2795;0
06-07-2020;1381;1327;1632;2868;0
07-07-2020;1424;1350;1655;2853;2600
08-07-2020;1462;1386;1691;2928;2669
09-07-2020;1492;1415;1720;2990;2725
10-07-2020;1485;1408;1713;2976;2712
11-07-2020;1516;1438;1743;3038;2769
12-07-2020;1525;1446;1751;3056;2785
13-07-2020;1528;1449;1754;3062;2791
14-07-2020;1549;1421;1726;3002;2737
15-07-2020;1610;1477;1781;3121;2845
