date;dca;dva (no withdraw);dva (full);lump-sum;lump-sum mid-year
01-01-2016;0;0;0;0;0
02-01-2016;0;0;0;0;0
03-01-2016;0;0;0;0;0
04-01-2016;0;0;0;0;0
05-01-2016;50;50;50;2600;0
06-01-2016;51;51;51;2630;0
07-01-2016;49;49;49;2565;0
08-01-2016;49;49;49;2543;0
09-01-2016;49;49;49;2552;0
10-01-2016;49;49;49;2544;0
11-01-2016;48;48;48;2510;0
12-01-2016;99;100;100;2552;0
13-01-2016;98;99;99;2522;0
14-01-2016;98;99;99;2533;0
15-01-2016;87;87;87;2231;0
16-01-2016;100;101;101;2586;0
17-01-2016;91;92;92;2347;0
18-01-2016;102;102;102;2616;0
19-01-2016;160;150;150;2843;0
20-01-2016;157;147;147;2787;0
21-01-2016;161;151;151;2861;0
22-01-2016;158;148;148;2796;0
23-01-2016;181;169;169;3208;0
24-01-2016;183;171;171;3239;0
25-01-2016;171;160;160;3027;0
26-01-2016;222;200;200;3046;0
27-01-2016;232;209;209;3181;0
28-01-2016;214;193;193;2933;0
29-01-2016;197;177;177;2699;0
30-01-2016;194;175;175;2664;0
31-01-2016;183;165;165;2517;0
01-02-2016;189;170;170;2593;0
02-02-2016;240;250;250;2609;0
03-02-2016;236;245;245;2562;0
04-02-2016;243;253;253;2641;0
05-02-2016;238;248;248;2585;0
06-02-2016;230;240;240;2502;0
07-02-2016;230;239;239;2497;0
08-02-2016;231;240;240;2508;0
09-02-2016;273;300;300;2421;0
10-02-2016;282;310;310;2502;0
11-02-2016;303;333;333;2689;0
12-02-2016;359;395;395;3190;0
13-02-2016;472;519;519;4189;0
14-02-2016;496;546;546;4408;0
15-02-2016;464;511;511;4123;0
16-02-2016;599;604;604;4873;0
17-02-2016;469;473;528;3818;0
18-02-2016;496;500;544;4033;0
19-02-2016;524;529;560;4265;0
20-02-2016;528;532;562;4293;0
21-02-2016;501;505;546;4073;0
22-02-2016;498;502;545;4052;0
23-02-2016;534;488;654;3940;0
24-02-2016;566;517;678;4173;0
25-02-2016;569;520;680;4200;0
26-02-2016;574;525;684;4237;0
27-02-2016;586;535;693;4321;0
28-02-2016;615;562;714;4533;0
29-02-2016;615;562;714;4533;0
01-03-2016;649;547;704;4416;0
02-03-2016;633;534;693;4310;0
03-03-2016;834;703;832;5676;0
04-03-2016;841;709;837;5725;0
05-03-2016;919;776;892;6258;0
06-03-2016;920;776;892;6264;0
07-03-2016;820;691;822;5578;0
08-03-2016;958;766;884;6179;0
09-03-2016;1003;802;907;6470;0
10-03-2016;884;707;845;5701;0
