date;xmr
01-01-2020;45,753544
02-01-2020;45,74947
03-01-2020;51,092037
04-01-2020;50,536694
05-01-2020;54,096893
06-01-2020;58,970917
07-01-2020;58,818295
08-01-2020;59,464172
09-01-2020;59,197315
10-01-2020;58,574028
11-01-2020;58,450272
12-01-2020;59,324764
13-01-2020;58,005684
14-01-2020;62,821903
15-01-2020;68,338852
16-01-2020;65,680695
17-01-2020;69,176346
18-01-2020;67,189468
19-01-2020;65,126289
20-01-2020;64,989769
21-01-2020;65,962959
22-01-2020;65,034142
23-01-2020;62,533157
24-01-2020;61,764793
25-01-2020;61,52179
26-01-2020;63,870396
27-01-2020;65,584099
28-01-2020;67,721085
29-01-2020;70,040878
30-01-2020;74,977409
31-01-2020;72,08709
01-02-2020;73,337059
02-02-2020;75,039391
03-02-2020;76,824638
04-02-2020;75,272232
05-02-2020;77,994476
06-02-2020;78,086693
07-02-2020;79,565422
08-02-2020;80,67392
09-02-2020;87,619263
10-02-2020;84,824341
11-02-2020;89,821365
12-02-2020;95,24086
13-02-2020;92,46109
14-02-2020;94,819801
15-02-2020;88,874138
16-02-2020;88,419647
17-02-2020;82,400955
18-02-2020;86,102165
19-02-2020;78,189384
20-02-2020;76,604721
21-02-2020;80,403488
22-02-2020;79,09111
23-02-2020;84,996689
24-02-2020;79,124397
25-02-2020;76,797249
26-02-2020;70,88343
27-02-2020;69,822617
28-02-2020;68,146507
29-02-2020;66,488533
01-03-2020;64,73642
02-03-2020;68,482414
03-03-2020;66,028564
04-03-2020;65,835876
05-03-2020;68,632385
06-03-2020;68,917694
07-03-2020;65,438202
08-03-2020;56,371769
09-03-2020;55,251534
10-03-2020;54,953838
11-03-2020;54,112373
12-03-2020;33,010323
13-03-2020;36,835373
14-03-2020;36,21841
15-03-2020;38,070606
16-03-2020;33,816479
17-03-2020;35,36676
18-03-2020;35,922001
19-03-2020;41,103573
20-03-2020;40,118107
21-03-2020;41,149391
22-03-2020;38,343227
23-03-2020;44,140224
24-03-2020;47,180721
25-03-2020;47,048679
26-03-2020;50,188301
27-03-2020;48,448612
28-03-2020;47,132763
29-03-2020;44,108952
30-03-2020;46,784622
31-03-2020;47,778564
01-04-2020;48,511734
02-04-2020;50,755833
03-04-2020;52,948505
04-04-2020;54,279442
05-04-2020;53,490597
06-04-2020;58,378181
07-04-2020;55,929985
08-04-2020;57,550617
09-04-2020;58,496025
10-04-2020;53,616642
11-04-2020;53,579315
12-04-2020;53,981926
13-04-2020;52,952171
14-04-2020;53,833237
15-04-2020;53,15387
16-04-2020;56,884686
17-04-2020;56,884686
18-04-2020;57,97226
19-04-2020;57,447842
20-04-2020;55,070011
21-04-2020;55,377457
22-04-2020;56,836723
23-04-2020;58,82196
24-04-2020;60,968952
25-04-2020;60,725075
26-04-2020;61,228275
27-04-2020;62,391323
28-04-2020;62,500546
29-04-2020;66,545959
30-04-2020;62,479301
01-05-2020;63,768688
02-05-2020;64,621971
03-05-2020;62,441116
04-05-2020;61,251541
05-05-2020;60,37735
06-05-2020;58,536285
07-05-2020;64,545692
08-05-2020;63,703495
09-05-2020;63,23922
10-05-2020;58,858376
11-05-2020;59,560589
12-05-2020;61,434505
13-05-2020;64,866486
14-05-2020;65,421814
15-05-2020;62,874229
16-05-2020;65,357918
17-05-2020;65,212204
18-05-2020;67,028381
19-05-2020;66,462883
20-05-2020;64,713722
21-05-2020;61,787292
22-05-2020;63,154388
23-05-2020;63,837982
24-05-2020;61,193382
25-05-2020;61,628452
26-05-2020;61,80938
27-05-2020;64,55069
28-05-2020;67,072647
29-05-2020;66,238602
30-05-2020;68,356483
31-05-2020;65,065262
01-06-2020;67,639404
02-06-2020;66,489967
03-06-2020;67,132645
04-06-2020;68,189545
05-06-2020;67,694962
06-06-2020;67,601418
07-06-2020;66,610397
08-06-2020;68,231392
09-06-2020;68,275246
10-06-2020;69,648697
11-06-2020;63,919361
12-06-2020;65,832939
13-06-2020;66,615349
14-06-2020;65,733429
15-06-2020;64,695717
16-06-2020;65,944977
17-06-2020;65,204575
18-06-2020;65,077942
19-06-2020;63,934765
20-06-2020;63,940842
21-06-2020;64,548912
22-06-2020;65,929176
23-06-2020;66,94751
24-06-2020;64,86731
25-06-2020;64,381592
26-06-2020;63,981968
27-06-2020;62,335659
28-06-2020;63,314903
29-06-2020;64,18531
30-06-2020;63,536777
01-07-2020;64,605927
02-07-2020;65,893074
03-07-2020;62,747787
04-07-2020;64,134361
05-07-2020;63,220116
06-07-2020;64,876259
07-07-2020;64,53112
08-07-2020;66,248627
09-07-2020;67,631966
10-07-2020;67,314415
11-07-2020;68,73526
12-07-2020;69,13372
13-07-2020;69,279694
14-07-2020;67,922226
15-07-2020;70,602638
16-07-2020;67,645721
17-07-2020;67,607719
18-07-2020;68,257172
19-07-2020;68,772476
20-07-2020;69,313507
21-07-2020;69,586372
22-07-2020;71,461845
23-07-2020;72,860657
24-07-2020;71,57962
25-07-2020;73,463562
26-07-2020;77,942444
27-07-2020;78,490158
28-07-2020;81,306328
29-07-2020;79,145859
30-07-2020;81,08992
31-07-2020;84,464775
01-08-2020;89,25676
02-08-2020;84,9674
03-08-2020;89,112999
04-08-2020;87,263763
05-08-2020;90,477699
06-08-2020;95,61097
07-08-2020;94,103424
08-08-2020;94,880318
09-08-2020;93,056572
10-08-2020;93,755051
11-08-2020;87,458679
12-08-2020;90,294518
13-08-2020;92,792824
14-08-2020;91,438103
15-08-2020;90,047127
16-08-2020;91,22023
17-08-2020;93,359146
18-08-2020;93,520096
19-08-2020;91,277451
20-08-2020;101,311401
21-08-2020;92,569595
22-08-2020;94,739082
23-08-2020;91,312607
24-08-2020;93,93988
25-08-2020;88,828781
26-08-2020;89,123993
27-08-2020;89,539352
28-08-2020;94,359978
29-08-2020;92,81897
30-08-2020;96,148193
31-08-2020;93,347473
01-09-2020;97,135849
