date;xmr
21-08-2019;80,565483
22-08-2019;82,253517
23-08-2019;82,168625
24-08-2019;80,736916
25-08-2019;80,3731
26-08-2019;79,70443
27-08-2019;78,208336
28-08-2019;72,365707
29-08-2019;67,16037
30-08-2019;67,850594
31-08-2019;67,535751
01-09-2019;71,776802
02-09-2019;73,177467
03-09-2019;74,928619
04-09-2019;73,927467
05-09-2019;75,963547
06-09-2019;75,603043
07-09-2019;78,394646
08-09-2019;77,375954
09-09-2019;75,146423
10-09-2019;72,229408
11-09-2019;74,361427
12-09-2019;75,12957
13-09-2019;76,910728
14-09-2019;76,037979
15-09-2019;75,691063
16-09-2019;75,345085
17-09-2019;74,283409
18-09-2019;81,765289
19-09-2019;76,02626
20-09-2019;74,006447
21-09-2019;72,826889
22-09-2019;73,188583
23-09-2019;68,719917
24-09-2019;59,216564
25-09-2019;59,864143
26-09-2019;57,574059
27-09-2019;58,041927
28-09-2019;57,979645
29-09-2019;56,164516
30-09-2019;56,816639
01-10-2019;55,842888
02-10-2019;56,060883
03-10-2019;56,271393
04-10-2019;57,66848
05-10-2019;56,500809
06-10-2019;55,495476
07-10-2019;56,552586
08-10-2019;55,869465
09-10-2019;57,446529
10-10-2019;55,951084
11-10-2019;54,483234
12-10-2019;53,811214
13-10-2019;53,525482
14-10-2019;53,021992
15-10-2019;52,188267
16-10-2019;55,08812
17-10-2019;56,053265
18-10-2019;56,506096
19-10-2019;54,698139
20-10-2019;56,423534
21-10-2019;57,838299
22-10-2019;56,65881
23-10-2019;53,00922
24-10-2019;53,552078
25-10-2019;58,971272
26-10-2019;56,730907
27-10-2019;59,752869
28-10-2019;59,548878
29-10-2019;59,864353
30-10-2019;58,620705
31-10-2019;59,295704
01-11-2019;60,871792
02-11-2019;62,306553
03-11-2019;63,467377
04-11-2019;63,133537
05-11-2019;62,984478
06-11-2019;64,208824
07-11-2019;63,505329
08-11-2019;60,890732
09-11-2019;62,182247
10-11-2019;63,902664
11-11-2019;61,929924
12-11-2019;62,257629
13-11-2019;65,330238
14-11-2019;65,538177
15-11-2019;61,958366
16-11-2019;62,007359
17-11-2019;62,14468
18-11-2019;59,375107
19-11-2019;58,964104
20-11-2019;58,251621
21-11-2019;54,14484
22-11-2019;51,266617
23-11-2019;52,110645
24-11-2019;48,222195
25-11-2019;50,200909
26-11-2019;51,720078
27-11-2019;55,963017
28-11-2019;54,031303
29-11-2019;55,954185
30-11-2019;54,765938
01-12-2019;53,586262
02-12-2019;54,031662
03-12-2019;53,426609
04-12-2019;53,051445
05-12-2019;54,006493
06-12-2019;54,245892
07-12-2019;54,723457
08-12-2019;54,243366
09-12-2019;54,310909
10-12-2019;53,007858
11-12-2019;53,06813
12-12-2019;53,306873
13-12-2019;52,619671
14-12-2019;51,593822
15-12-2019;50,924957
16-12-2019;49,448708
17-12-2019;44,944107
18-12-2019;47,932434
19-12-2019;47,865131
20-12-2019;47,058422
21-12-2019;45,531258
22-12-2019;47,455925
23-12-2019;47,343552
24-12-2019;46,208752
25-12-2019;46,50021
26-12-2019;45,307041
27-12-2019;45,344425
28-12-2019;45,548683
29-12-2019;46,829258
30-12-2019;46,498085
31-12-2019;44,567886
