S,call delta,gamma,vega,call theta,call rho
50,0.000071086,0.000032487,0.000101522,-0.000007047,0.000017061
51,0.000111100,0.000048469,0.000157586,-0.000010942,0.000027171
52,0.000170165,0.000070885,0.000239593,-0.000016643,0.000042390
53,0.000255673,0.000101721,0.000357168,-0.000024819,0.000064849
54,0.000377204,0.000143361,0.000522551,-0.000036325,0.000097375
55,0.000546926,0.000198607,0.000750982,-0.000052224,0.000143648
56,0.000780022,0.000270678,0.001061058,-0.000073817,0.000208362
57,0.001095093,0.000363194,0.001475023,-0.000102659,0.000297408
58,0.001514548,0.000480135,0.002018968,-0.000140576,0.000418050
59,0.002064928,0.000625776,0.002722909,-0.000189674,0.000579097
60,0.002777162,0.000804603,0.003620714,-0.000252329,0.000791061
61,0.003686724,0.001021200,0.004749857,-0.000331175,0.001066294
62,0.004833672,0.001280123,0.006150990,-0.000429077,0.001419088
63,0.006262543,0.001585752,0.007867313,-0.000549080,0.001865737
64,0.008022101,0.001942139,0.009943752,-0.000694364,0.002424546
65,0.010164934,0.002352845,0.012425962,-0.000868166,0.003115780
66,0.012746877,0.002820783,0.015359164,-0.001073705,0.003961562
67,0.015826294,0.003348072,0.018786866,-0.001314091,0.004985688
68,0.019463212,0.003935899,0.022749493,-0.001592230,0.006213392
69,0.023718333,0.004584412,0.027282983,-0.001910731,0.007671041
70,0.028651952,0.005292636,0.032417395,-0.002271798,0.009385769
71,0.034322803,0.006058416,0.038175594,-0.002677151,0.011385063
72,0.040786866,0.006878401,0.044572041,-0.003127928,0.013696307
73,0.048096176,0.007748060,0.051611763,-0.003624621,0.016346295
74,0.056297667,0.008661728,0.059289531,-0.004167013,0.019360723
75,0.065432077,0.009612698,0.067589281,-0.004754135,0.022763687
76,0.075532958,0.010593325,0.076483808,-0.005384245,0.026577178
77,0.086625809,0.011595176,0.085934747,-0.006054822,0.030820612
78,0.098727367,0.012609183,0.095892837,-0.006762580,0.035510388
79,0.111845057,0.013625827,0.106298483,-0.007503510,0.040659505
80,0.125976638,0.014635321,0.117082567,-0.008272928,0.046277229
81,0.141110027,0.015627802,0.128167513,-0.009065549,0.052368832
82,0.157223319,0.016593523,0.139468558,-0.009875575,0.058935401
83,0.174284996,0.017523029,0.150895186,-0.010696787,0.065973730
84,0.192254304,0.018407335,0.162352695,-0.011522657,0.073476284
85,0.211081801,0.019238072,0.173743840,-0.012346462,0.081431248
86,0.230710044,0.020007627,0.184970512,-0.013161392,0.089822643
87,0.251074401,0.020709251,0.195935403,-0.013960674,0.098630519
88,0.272103961,0.021337151,0.206543620,-0.014737679,0.107831213
89,0.293722524,0.021886550,0.216704207,-0.015486029,0.117397657
90,0.315849643,0.022353732,0.226331541,-0.016199693,0.127299737
91,0.338401690,0.022736053,0.235346573,-0.016873079,0.137504698
92,0.361292926,0.023031938,0.243677901,-0.017501103,0.147977562
93,0.384436564,0.023240850,0.251262644,-0.018079258,0.158681581
94,0.407745780,0.023363252,0.258047124,-0.018603659,0.169578691
95,0.431134688,0.023400540,0.263987341,-0.019071078,0.180629965
96,0.454519232,0.023354970,0.269049254,-0.019478968,0.191796066
97,0.477818012,0.023229577,0.273208861,-0.019825471,0.203037675
98,0.500953012,0.023028081,0.276452107,-0.020109410,0.214315903
99,0.523850237,0.022754790,0.278774620,-0.020330276,0.225592673
100,0.546440255,0.022414504,0.280181303,-0.020488205,0.236831065
101,0.568658640,0.022012414,0.280685794,-0.020583935,0.247995636
102,0.590446308,0.021554004,0.280309821,-0.020618770,0.259052686
103,0.611749769,0.021044960,0.279082471,-0.020594528,0.269970498
104,0.632521282,0.020491080,0.277039396,-0.020513490,0.280719525
105,0.652718926,0.019898193,0.274221968,-0.020378341,0.291272547
106,0.672306594,0.019272084,0.270676420,-0.020192110,0.301604781
107,0.691253913,0.018618428,0.266452972,-0.019958116,0.311693956
108,0.709536104,0.017942728,0.261604973,-0.019679904,0.321520352
109,0.727133786,0.017250269,0.256188063,-0.019361192,0.331066806
110,0.744032734,0.016546074,0.250259375,-0.019005813,0.340318687
111,0.760223602,0.015834869,0.243876782,-0.018617664,0.349263844
112,0.775701608,0.015121059,0.237098201,-0.018200658,0.357892536
113,0.790466209,0.014408706,0.229980956,-0.017758681,0.366197327
114,0.804520746,0.013701521,0.222581210,-0.017295551,0.374172982
115,0.817872095,0.013002856,0.214953464,-0.016814984,0.381816338
116,0.830530300,0.012315703,0.207150118,-0.016320562,0.389126165
117,0.842508220,0.011642698,0.199221116,-0.015815709,0.396103023
118,0.853821179,0.010986133,0.191213642,-0.015303669,0.402749113
119,0.864486621,0.010347963,0.183171886,-0.014787489,0.409068122
120,0.874523787,0.009729827,0.175136879,-0.014270006,0.415065070
121,0.883953400,0.009133057,0.167146368,-0.013753840,0.420746164
122,0.892797378,0.008558708,0.159234757,-0.013241387,0.426118641
123,0.901078555,0.008007566,0.151433088,-0.012734818,0.431190632
124,0.908820431,0.007480180,0.143769063,-0.012236078,0.435971021
125,0.916046944,0.006976876,0.136267110,-0.011746894,0.440469316
126,0.922782255,0.006497781,0.128948468,-0.011268775,0.444695524
127,0.929050562,0.006042845,0.121831311,-0.010803022,0.448660038
128,0.934875930,0.005611860,0.114930887,-0.010350738,0.452373531
129,0.940282151,0.005204479,0.108259672,-0.009912837,0.455846858
130,0.945292603,0.004820239,0.101827544,-0.009490056,0.459090966
131,0.949930154,0.004458573,0.095641962,-0.009082966,0.462116817
132,0.954217058,0.004118831,0.089708148,-0.008691984,0.464935315
133,0.958174886,0.003800295,0.084029278,-0.008317387,0.467557243
134,0.961824459,0.003502191,0.078606668,-0.007959324,0.469993209
135,0.965185806,0.003223702,0.073439960,-0.007617825,0.472253599
136,0.968278120,0.002963984,0.068527303,-0.007292821,0.474348533
137,0.971119742,0.002722171,0.063865527,-0.006984148,0.476287839
138,0.973728138,0.002497387,0.059450308,-0.006691561,0.478081018
139,0.976119901,0.002288757,0.055276334,-0.006414747,0.479737227
140,0.978310745,0.002095406,0.051337445,-0.006153333,0.481265260
141,0.980315519,0.001916474,0.047626782,-0.005906895,0.482673539
142,0.982148218,0.001751117,0.044136909,-0.005674967,0.483970105
143,0.983822003,0.001598511,0.040859939,-0.005457051,0.485162613
144,0.985349223,0.001457856,0.037787636,-0.005252623,0.486258335
145,0.986741442,0.001328381,0.034911521,-0.005061141,0.487264159
146,0.988009465,0.001209343,0.032222956,-0.004882047,0.488186596
147,0.989163371,0.001100031,0.029713225,-0.004714779,0.489031787
148,0.990212543,0.000999766,0.027373605,-0.004558770,0.489805510
149,0.991165703,0.000907902,0.025195426,-0.004413458,0.490513193
150,0.992030944,0.000823827,0.023170126,-0.004278282,0.491159925
