S,put delta,gamma,vega,put theta,put rho
50,-0.992809214,0.001596387,0.009977417,0.012643343,-0.947907557
51,-0.991066869,0.001893975,0.012315572,0.012551212,-0.947027425
52,-0.989009785,0.002225988,0.015047676,0.012443131,-0.945967749
53,-0.986603248,0.002592921,0.018208788,0.012317562,-0.944704012
54,-0.983812292,0.002994789,0.021832010,0.012173020,-0.943210515
55,-0.980602184,0.003431100,0.025947693,0.012008102,-0.941460643
56,-0.976938939,0.003900852,0.030582682,0.011821513,-0.939427151
57,-0.972789831,0.004402535,0.035759590,0.011612103,-0.937082486
58,-0.968123889,0.004934145,0.041496158,0.011378887,-0.934399126
59,-0.962912384,0.005493213,0.047804682,0.011121072,-0.931349930
60,-0.957129273,0.006076840,0.054691559,0.010838077,-0.927908493
61,-0.950751608,0.006681745,0.062156930,0.010529550,-0.924049501
62,-0.943759893,0.007304313,0.070194445,0.010195383,-0.919749078
63,-0.936138388,0.007940656,0.078791156,0.009835715,-0.914985107
64,-0.927875355,0.008586673,0.087927530,0.009450941,-0.909737542
65,-0.918963234,0.009238114,0.097577580,0.009041709,-0.903988681
66,-0.909398764,0.009890644,0.107709114,0.008608913,-0.897723410
67,-0.899183035,0.010539905,0.118284089,0.008153687,-0.890929409
68,-0.888321483,0.011181579,0.129259059,0.007677393,-0.883597326
69,-0.876823815,0.011811443,0.140585705,0.007181598,-0.875720899
70,-0.864703893,0.012425424,0.152211440,0.006668061,-0.867297041
71,-0.851979557,0.013019643,0.164080054,0.006138709,-0.858325889
72,-0.838672409,0.013590464,0.176132418,0.005595613,-0.848810803
73,-0.824807552,0.014134524,0.188307195,0.005040964,-0.838758328
74,-0.810413305,0.014648763,0.200541570,0.004477044,-0.828178128
75,-0.795520880,0.015130452,0.212771979,0.003906204,-0.817082870
76,-0.780164051,0.015577203,0.224934813,0.003330836,-0.805488091
77,-0.764378800,0.015986987,0.236967110,0.002753346,-0.793412033
78,-0.748202961,0.016358132,0.248807194,0.002176130,-0.780875448
79,-0.731675855,0.016689331,0.260395284,0.001601550,-0.767901394
80,-0.714837937,0.016979627,0.271674037,0.001031917,-0.754515008
81,-0.697730441,0.017228414,0.282589052,0.000469461,-0.740743266
82,-0.680395042,0.017435413,0.293089296,-0.000083678,-0.726614744
83,-0.662873533,0.017600666,0.303127475,-0.000625470,-0.712159361
84,-0.645207516,0.017724509,0.312660342,-0.001154010,-0.697408133
85,-0.627438117,0.017807554,0.321648941,-0.001667526,-0.682392922
86,-0.609605722,0.017850664,0.330058780,-0.002164394,-0.667146189
87,-0.591749738,0.017854932,0.337859956,-0.002643139,-0.651700759
