S,put delta,gamma,vega,put theta,put rho
50,-0.999888411,0.000049643,0.000155134,0.013349051,-0.487628200
51,-0.999827678,0.000073132,0.000237771,0.013342971,-0.487612855
52,-0.999739147,0.000105634,0.000357042,0.013334176,-0.487590045
53,-0.999612544,0.000149748,0.000525804,0.013321706,-0.487556794
54,-0.999434764,0.000208539,0.000760125,0.013304353,-0.487509213
55,-0.999189405,0.000285529,0.001079656,0.013280635,-0.487442321
56,-0.998856323,0.000384681,0.001507949,0.013248766,-0.487349849
57,-0.998411208,0.000510349,0.002072654,0.013206642,-0.487224052
58,-0.997825232,0.000667202,0.002805585,0.013151823,-0.487055519
59,-0.997064782,0.000860125,0.003742619,0.013081547,-0.486833006
60,-0.996091301,0.001094089,0.004923401,0.012992734,-0.486543298
61,-0.994861284,0.001374003,0.006390830,0.012882028,-0.486171102
62,-0.993326415,0.001704546,0.008190345,0.012745839,-0.485698992
63,-0.991433884,0.002089995,0.010368987,0.012580410,-0.485107415
64,-0.989126885,0.002534037,0.012974270,0.012381893,-0.484374758
65,-0.986345292,0.003039601,0.016052892,0.012146445,-0.483477484
66,-0.983026497,0.003608689,0.019649309,0.011870331,-0.482390341
67,-0.979106415,0.004242235,0.023804239,0.011550029,-0.481086650
68,-0.974520611,0.004939989,0.028553139,0.011182351,-0.479538650
69,-0.969205525,0.005700436,0.033924719,0.010764551,-0.477717916
70,-0.963099771,0.006520743,0.039939553,0.010294437,-0.475595825
71,-0.956145454,0.007396761,0.046608839,0.009770465,-0.473144063
72,-0.948289478,0.008323051,0.053933369,0.009191829,-0.470335166
73,-0.939484799,0.009292962,0.061902742,0.008558526,-0.467143066
74,-0.929691588,0.010298740,0.070494874,0.007871410,-0.463543641
75,-0.918878260,0.011331670,0.079675802,0.007132212,-0.459515246
76,-0.907022360,0.012382246,0.089399818,0.006343552,-0.455039206
77,-0.894111249,0.013440366,0.099609914,0.005508917,-0.450100265
78,-0.880142609,0.014495534,0.110238540,0.004632620,-0.444686978
79,-0.865124722,0.015537079,0.121208634,0.003719738,-0.438792023
80,-0.849076541,0.016554363,0.132434907,0.002776032,-0.432412447
81,-0.832027549,0.017537001,0.143825328,0.001807849,-0.425549818
82,-0.814017410,0.018475047,0.155282771,0.000822010,-0.418210296
83,-0.795095434,0.019359183,0.166706768,-0.000174310,-0.410404612
84,-0.775319868,0.020180875,0.177995321,-0.001173708,-0.402147971
85,-0.754757047,0.020932508,0.189046713,-0.002168683,-0.393459866
86,-0.733480413,0.021607494,0.199761283,-0.003151764,-0.384363824
87,-0.711569447,0.022200354,0.210043101,-0.004115635,-0.374887084
88,-0.689108533,0.022706769,0.219801526,-0.005053249,-0.365060223
89,-0.666185782,0.023123605,0.228952593,-0.005957938,-0.354916732
90,-0.642891846,0.023448911,0.237420219,-0.006823507,-0.344492560
91,-0.619318748,0.023681893,0.245137197,-0.007644311,-0.333825636
92,-0.595558740,0.023822871,0.252045973,-0.008415330,-0.322955374
93,-0.571703231,0.023873207,0.258099205,-0.009132215,-0.311922180
94,-0.547841775,0.023835228,0.263260090,-0.009791322,-0.300766965
95,-0.524061156,0.023712132,0.267502486,-0.010389741,-0.289530674
96,-0.500444569,0.023507885,0.270810832,-0.010925294,-0.278253838
97,-0.477070901,0.023227112,0.273179873,-0.011396535,-0.266976161
98,-0.454014133,0.022874988,0.274614234,-0.011802725,-0.255736133
99,-0.431342842,0.022457124,0.275127839,-0.012143806,-0.244570696
100,-0.409119822,0.021979457,0.274743217,-0.012420359,-0.233514943
101,-0.387401809,0.021448149,0.273490712,-0.012633559,-0.222601863
102,-0.366239310,0.020869482,0.271407617,-0.012785121,-0.211862136
103,-0.345676526,0.020249770,0.268537267,-0.012877238,-0.201323967
104,-0.325751363,0.019595274,0.264928098,-0.012912528,-0.191012968
105,-0.306495527,0.018912124,0.260632710,-0.012893964,-0.180952079
106,-0.287934683,0.018206261,0.255706930,-0.012824816,-0.171161528
107,-0.270088678,0.017483372,0.250208915,-0.012708588,-0.161658831
108,-0.252971812,0.016748854,0.244198291,-0.012548956,-0.152458821
109,-0.236593155,0.016007767,0.237735348,-0.012349717,-0.143573709
110,-0.220956896,0.015264813,0.230880293,-0.012114728,-0.135013167
111,-0.206062707,0.014524313,0.223692579,-0.011847863,-0.126784436
112,-0.191906137,0.013790198,0.216230300,-0.011552967,-0.118892454
113,-0.178479002,0.013065998,0.208549666,-0.011233813,-0.111339992
114,-0.165769785,0.012354851,0.200704552,-0.010894070,-0.104127808
115,-0.153764030,0.011659501,0.192746126,-0.010537274,-0.097254803
116,-0.142444725,0.010982315,0.184722544,-0.010166799,-0.090718186
117,-0.131792674,0.010325296,0.176678721,-0.009785840,-0.084513640
118,-0.121786855,0.009690098,0.168656163,-0.009397395,-0.078635487
119,-0.112404756,0.009078052,0.160692864,-0.009004255,-0.073076848
120,-0.103622690,0.008490181,0.152823252,-0.008608995,-0.067829809
121,-0.095416086,0.007927229,0.145078192,-0.008213970,-0.062885564
122,-0.087759762,0.007389682,0.137485028,-0.007821315,-0.058234571
123,-0.080628167,0.006877793,0.130067662,-0.007432944,-0.053866683
124,-0.073995606,0.006391606,0.122846671,-0.007050559,-0.049771279
125,-0.067836433,0.005930980,0.115839444,-0.006675650,-0.045937386
126,-0.062125227,0.005495608,0.109060344,-0.006309509,-0.042353786
127,-0.056836946,0.005085046,0.102520889,-0.005953236,-0.039009118
128,-0.051947053,0.004698727,0.096229938,-0.005607750,-0.035891973
129,-0.047431631,0.004335984,0.090193890,-0.005273802,-0.032990966
130,-0.043267475,0.003996066,0.084416891,-0.004951984,-0.030294816
131,-0.039432163,0.003678155,0.078901030,-0.004642744,-0.027792407
132,-0.035904118,0.003381384,0.073646549,-0.004346398,-0.025472841
133,-0.032662650,0.003104846,0.068652034,-0.004063140,-0.023325484
134,-0.029687991,0.002847610,0.063914610,-0.003793055,-0.021340006
135,-0.026961311,0.002608730,0.059430126,-0.003536134,-0.019506414
136,-0.024464730,0.002387255,0.055193326,-0.003292281,-0.017815072
137,-0.022181316,0.002182238,0.051198020,-0.003061324,-0.016256727
138,-0.020095081,0.001992742,0.047437230,-0.002843029,-0.014822520
139,-0.018190964,0.001817850,0.043903342,-0.002637106,-0.013503992
140,-0.016454813,0.001656663,0.040588232,-0.002443219,-0.012293094
141,-0.014873361,0.001508310,0.037483387,-0.002260994,-0.011182185
142,-0.013434196,0.001371951,0.034580017,-0.002090028,-0.010164033
143,-0.012125732,0.001246776,0.031869150,-0.001929892,-0.009231804
144,-0.010937175,0.001132011,0.029341719,-0.001780143,-0.008379063
145,-0.009858487,0.001026916,0.026988645,-0.001640325,-0.007599755
146,-0.008880353,0.000930790,0.024800896,-0.001509974,-0.006888202
147,-0.007994140,0.000842966,0.022769554,-0.001388625,-0.006239088
148,-0.007191865,0.000762814,0.020885858,-0.001275814,-0.005647443
149,-0.006466152,0.000689744,0.019141251,-0.001171082,-0.005108632
150,-0.005810203,0.000623197,0.017527413,-0.001073978,-0.004618337
