S,call delta,gamma,vega,call theta,call rho
50,0.000111589,0.000049643,0.000155134,-0.000011359,0.000026756
51,0.000172322,0.000073132,0.000237771,-0.000017439,0.000042101
52,0.000260853,0.000105634,0.000357042,-0.000026233,0.000064911
53,0.000387456,0.000149748,0.000525804,-0.000038703,0.000098162
54,0.000565236,0.000208539,0.000760125,-0.000056056,0.000145743
55,0.000810595,0.000285529,0.001079656,-0.000079775,0.000212635
56,0.001143677,0.000384681,0.001507949,-0.000111643,0.000305107
57,0.001588792,0.000510349,0.002072654,-0.000153768,0.000430904
58,0.002174768,0.000667202,0.002805585,-0.000208586,0.000599437
59,0.002935218,0.000860125,0.003742619,-0.000278863,0.000821950
60,0.003908699,0.001094089,0.004923401,-0.000367676,0.001111658
61,0.005138716,0.001374003,0.006390830,-0.000478382,0.001483854
62,0.006673585,0.001704546,0.008190345,-0.000614571,0.001955964
63,0.008566116,0.002089995,0.010368987,-0.000780000,0.002547541
64,0.010873115,0.002534037,0.012974270,-0.000978517,0.003280198
65,0.013654708,0.003039601,0.016052892,-0.001213964,0.004177472
66,0.016973503,0.003608689,0.019649309,-0.001490079,0.005264615
67,0.020893585,0.004242235,0.023804239,-0.001810381,0.006568306
68,0.025479389,0.004939989,0.028553139,-0.002178059,0.008116306
69,0.030794475,0.005700436,0.033924719,-0.002595859,0.009937040
70,0.036900229,0.006520743,0.039939553,-0.003065973,0.012059131
71,0.043854546,0.007396761,0.046608839,-0.003589945,0.014510893
72,0.051710522,0.008323051,0.053933369,-0.004168581,0.017319790
73,0.060515201,0.009292962,0.061902742,-0.004801883,0.020511890
74,0.070308412,0.010298740,0.070494874,-0.005489000,0.024111315
75,0.081121740,0.011331670,0.079675802,-0.006228198,0.028139710
76,0.092977640,0.012382246,0.089399818,-0.007016857,0.032615750
77,0.105888751,0.013440366,0.099609914,-0.007851492,0.037554691
78,0.119857391,0.014495534,0.110238540,-0.008727790,0.042967978
79,0.134875278,0.015537079,0.121208634,-0.009640672,0.048862933
80,0.150923459,0.016554363,0.132434907,-0.010584377,0.055242509
81,0.167972451,0.017537001,0.143825328,-0.011552561,0.062105138
82,0.185982590,0.018475047,0.155282771,-0.012538400,0.069444660
83,0.204904566,0.019359183,0.166706768,-0.013534720,0.077250344
84,0.224680132,0.020180875,0.177995321,-0.014534117,0.085506985
85,0.245242953,0.020932508,0.189046713,-0.015529092,0.094195090
86,0.266519587,0.021607494,0.199761283,-0.016512174,0.103291132
87,0.288430553,0.022200354,0.210043101,-0.017476044,0.112767872
88,0.310891467,0.022706769,0.219801526,-0.018413659,0.122594733
89,0.333814218,0.023123605,0.228952593,-0.019318348,0.132738224
90,0.357108154,0.023448911,0.237420219,-0.020183916,0.143162396
91,0.380681252,0.023681893,0.245137197,-0.021004721,0.153829320
92,0.404441260,0.023822871,0.252045973,-0.021775740,0.164699583
