date;btc
07-08-2017;3378,939941
08-08-2017;3419,939941
09-08-2017;3342,469971
10-08-2017;3381,280029
11-08-2017;3650,620117
12-08-2017;3884,709961
13-08-2017;4073,26001
14-08-2017;4325,129883
15-08-2017;4181,930176
16-08-2017;4376,629883
17-08-2017;4331,689941
18-08-2017;4160,620117
19-08-2017;4193,700195
20-08-2017;4087,659912
21-08-2017;4001,73999
22-08-2017;4100,52002
23-08-2017;4151,52002
24-08-2017;4334,680176
25-08-2017;4371,600098
26-08-2017;4352,399902
27-08-2017;4382,879883
28-08-2017;4382,660156
29-08-2017;4579,02002
30-08-2017;4565,299805
31-08-2017;4703,390137
01-09-2017;4892,009766
02-09-2017;4578,77002
03-09-2017;4582,959961
04-09-2017;4236,310059
05-09-2017;4376,529785
06-09-2017;4597,120117
07-09-2017;4599,879883
08-09-2017;4228,75
09-09-2017;4226,060059
10-09-2017;4122,939941
11-09-2017;4161,27002
12-09-2017;4130,810059
13-09-2017;3882,590088
14-09-2017;3154,949951
15-09-2017;3637,52002
16-09-2017;3625,040039
17-09-2017;3582,879883
18-09-2017;4065,199951
19-09-2017;3924,969971
20-09-2017;3905,949951
21-09-2017;3631,040039
22-09-2017;3630,699951
23-09-2017;3792,399902
24-09-2017;3682,840088
25-09-2017;3926,070068
26-09-2017;3892,350098
27-09-2017;4200,669922
28-09-2017;4174,72998
29-09-2017;4163,069824
30-09-2017;4338,709961
01-10-2017;4403,740234
02-10-2017;4409,319824
03-10-2017;4317,47998
04-10-2017;4229,359863
05-10-2017;4328,410156
06-10-2017;4370,810059
07-10-2017;4426,890137
08-10-2017;4610,47998
09-10-2017;4772,02002
10-10-2017;4781,990234
11-10-2017;4826,47998
12-10-2017;5446,910156
13-10-2017;5647,209961
14-10-2017;5831,790039
15-10-2017;5678,189941
16-10-2017;5725,589844
17-10-2017;5605,509766
18-10-2017;5590,689941
19-10-2017;5708,52002
20-10-2017;6011,450195
21-10-2017;6031,600098
22-10-2017;6008,419922
23-10-2017;5930,319824
24-10-2017;5526,640137
25-10-2017;5750,799805
26-10-2017;5904,830078
27-10-2017;5780,899902
28-10-2017;5753,089844
29-10-2017;6153,850098
30-10-2017;6130,529785
31-10-2017;6468,399902
01-11-2017;6767,310059
02-11-2017;7078,5
03-11-2017;7207,759766
04-11-2017;7379,950195
05-11-2017;7407,410156
06-11-2017;7022,759766
07-11-2017;7144,379883
08-11-2017;7459,689941
09-11-2017;7143,580078
10-11-2017;6618,140137
11-11-2017;6357,600098
12-11-2017;5950,069824
13-11-2017;6559,490234
14-11-2017;6635,75
15-11-2017;7315,540039
16-11-2017;7871,689941
17-11-2017;7708,990234
18-11-2017;7790,149902
19-11-2017;8036,490234
20-11-2017;8200,639648
21-11-2017;8071,259766
22-11-2017;8253,549805
23-11-2017;8038,77002
24-11-2017;8253,69043
25-11-2017;8790,919922
26-11-2017;9330,549805
27-11-2017;9818,349609
28-11-2017;10058,799805
29-11-2017;9888,610352
30-11-2017;10233,599609
01-12-2017;10975,599609
02-12-2017;11074,599609
03-12-2017;11323,200195
04-12-2017;11657,200195
05-12-2017;11916,700195
06-12-2017;14291,5
07-12-2017;17899,699219
08-12-2017;16569,400391
09-12-2017;15178,200195
10-12-2017;15455,400391
11-12-2017;16936,800781
12-12-2017;17415,400391
13-12-2017;16408,199219
14-12-2017;16564
15-12-2017;17706,900391
16-12-2017;19497,400391
17-12-2017;19140,800781
18-12-2017;19114,199219
19-12-2017;17776,699219
20-12-2017;16624,599609
21-12-2017;15802,900391
22-12-2017;13831,799805
23-12-2017;14699,200195
24-12-2017;13925,799805
25-12-2017;14026,599609
26-12-2017;16099,799805
27-12-2017;15838,5
28-12-2017;14606,5
29-12-2017;14656,200195
30-12-2017;12952,200195
31-12-2017;14156,400391
