date;crypto investment;savings
07-07-2020;2946,7;2600
08-07-2020;3002,77;2600
09-07-2020;2954,88;2600
10-07-2020;2955,15;2600
11-07-2020;2942,9;2600
12-07-2020;2954,41;2600
13-07-2020;2943,94;2600
14-07-2020;2943,81;2600
15-07-2020;2927,77;2600
16-07-2020;2908,46;2600
17-07-2020;2914,57;2600
18-07-2020;2917;2600
19-07-2020;2925,53;2600
20-07-2020;2918,66;2600
21-07-2020;2985,75;2600
22-07-2020;3033,67;2600
23-07-2020;3051,41;2600
24-07-2020;3037,34;2600
25-07-2020;3082;2600
26-07-2020;3154,63;2600
27-07-2020;3500,41;2600
28-07-2020;3475,55;2600
29-07-2020;3535,31;2600
30-07-2020;3538,74;2600
31-07-2020;3606,34;2600
01-08-2020;3745,23;2600
02-08-2020;3520,39;2600
03-08-2020;3581,77;2600
04-08-2020;3568,89;2600
05-08-2020;3741,23;2600
06-08-2020;3751,66;2600
07-08-2020;3694,88;2600
08-08-2020;3743,47;2600
09-08-2020;3718,53;2600
10-08-2020;3782,98;2600
11-08-2020;3634,06;2600
12-08-2020;3689,61;2600
13-08-2020;3753,05;2600
14-08-2020;3748,19;2600
15-08-2020;3779,03;2600
16-08-2020;3787,66;2600
17-08-2020;3902,82;2600
18-08-2020;3819,01;2600
19-08-2020;3744,82;2600
20-08-2020;3783,06;2600
21-08-2020;3692,01;2600
22-08-2020;3720,47;2600
23-08-2020;3715,06;2600
24-08-2020;3750,01;2600
25-08-2020;3619,92;2600
26-08-2020;3658,85;2600
27-08-2020;3606,31;2600
28-08-2020;3676,09;2600
29-08-2020;3664,74;2600
30-08-2020;3729,92;2600
31-08-2020;3720,15;2600
01-09-2020;3812,4;2600
02-09-2020;3635,18;2600
03-09-2020;3262,96;2600
04-09-2020;3347,84;2600
05-09-2020;3238,84;2600
06-09-2020;3274,12;2600
07-09-2020;3302,53;2600
08-09-2020;3226,72;2600
09-09-2020;3262,02;2600
10-09-2020;3300,49;2600
11-09-2020;3312,52;2600
12-09-2020;3325,66;2600
13-09-2020;3287,94;2600
14-09-2020;3401,67;2600
15-09-2020;3438,65;2600
16-09-2020;3495,32;2600
17-09-2020;3487,07;2600
