date;lumpsum1 crypto;lumpsum2 crypto;savings1;savings2
26-05-2019;5867.11;0;2600;0
27-05-2019;5956.79;0;2600;0
28-05-2019;5898.73;0;2600;0
29-05-2019;5857.82;0;2600;0
30-05-2019;5627.82;0;2600;0
31-05-2019;5800.34;0;2600;0
01-06-2019;5793.24;0;2600;0
02-06-2019;5914.29;0;2600;0
03-06-2019;5553.08;0;2600;0
04-06-2019;5214.02;0;2600;0
05-06-2019;5292.8;0;2600;0
06-06-2019;5291.31;0;2600;0
07-06-2019;5441.44;0;2600;0
08-06-2019;5380.68;0;2600;0
09-06-2019;5200.7;0;2600;0
10-06-2019;5411.93;0;2600;0
11-06-2019;5362.81;0;2600;0
12-06-2019;5510.37;0;2600;0
13-06-2019;5567.92;0;2600;0
14-06-2019;5881.06;0;2600;0
15-06-2019;5978.84;0;2600;0
16-06-2019;6084.44;0;2600;0
17-06-2019;6304.88;0;2600;0
18-06-2019;6143.48;0;2600;0
19-06-2019;6273.2;0;2600;0
20-06-2019;6444.77;0;2600;0
21-06-2019;6862.42;0;2600;0
22-06-2019;7239.3;0;2600;0
23-06-2019;7343.26;0;2600;0
24-06-2019;7448.61;0;2600;0
25-06-2019;7976.12;0;2600;0
26-06-2019;8805;0;2600;0
27-06-2019;7564.76;0;2600;0
28-06-2019;8393.1;0;2600;0
29-06-2019;8090.07;0;2600;0
30-06-2019;7317.41;0;2600;0
01-07-2019;7159.1;0;2600;0
02-07-2019;7306.94;2600;2600;2600
03-07-2019;8091.36;2879.12;2600;2600
04-07-2019;7586.83;2699.59;2600;2600
05-07-2019;7426.52;2642.55;2600;2600
06-07-2019;7582.17;2697.94;2600;2600
07-07-2019;7746.08;2756.26;2600;2600
08-07-2019;8311;2957.27;2600;2600
09-07-2019;8505.72;3026.56;2600;2600
10-07-2019;8223.43;2926.11;2600;2600
11-07-2019;7683.72;2734.07;2600;2600
12-07-2019;7993.08;2844.15;2600;2600
13-07-2019;7706.53;2742.18;2600;2600
14-07-2019;6937.85;2468.67;2600;2600
15-07-2019;7370.13;2622.48;2600;2600
16-07-2019;6411.28;2281.3;2600;2600
17-07-2019;6557.5;2333.33;2600;2600
18-07-2019;7215.48;2567.46;2600;2600
19-07-2019;7123.65;2534.78;2600;2600
20-07-2019;7283.57;2591.69;2600;2600
21-07-2019;7169.91;2551.24;2600;2600
22-07-2019;6996.73;2489.62;2600;2600
23-07-2019;6697.51;2383.15;2600;2600
24-07-2019;6637.41;2361.76;2600;2600
25-07-2019;6705;2385.81;2600;2600
26-07-2019;6676.9;2375.82;2600;2600
27-07-2019;6411.3;2281.31;2600;2600
28-07-2019;6462.16;2299.41;2600;2600
29-07-2019;6439.35;2291.29;2600;2600
30-07-2019;6499.07;2312.54;2600;2600
31-07-2019;6822.56;2427.64;2600;2600
01-08-2019;7034.99;2503.24;2600;2600
02-08-2019;7115.16;2531.76;2600;2600
03-08-2019;7320.5;2604.83;2600;2600
04-08-2019;7420.93;2640.56;2600;2600
05-08-2019;7986.09;2841.66;2600;2600
06-08-2019;7764.56;2762.83;2600;2600
07-08-2019;8078.3;2874.47;2600;2600
08-08-2019;8094.83;2880.35;2600;2600
09-08-2019;8024.84;2855.45;2600;2600
10-08-2019;7680.58;2732.95;2600;2600
11-08-2019;7795.28;2773.76;2600;2600
12-08-2019;7699.92;2739.83;2600;2600
13-08-2019;7370.63;2622.66;2600;2600
14-08-2019;6799.61;2419.48;2600;2600
15-08-2019;6975.38;2482.02;2600;2600
16-08-2019;7017.86;2497.14;2600;2600
17-08-2019;6921.4;2462.82;2600;2600
18-08-2019;6998.56;2490.27;2600;2600
19-08-2019;7384.31;2627.53;2600;2600
20-08-2019;7280.93;2590.75;2600;2600
21-08-2019;6858.02;2440.26;2600;2600
22-08-2019;6853.29;2438.58;2600;2600
23-08-2019;7040.61;2505.23;2600;2600
24-08-2019;6872.84;2445.54;2600;2600
25-08-2019;6858.33;2440.38;2600;2600
26-08-2019;7015.48;2496.29;2600;2600
27-08-2019;6890.12;2451.68;2600;2600
28-08-2019;6598.51;2347.92;2600;2600
29-08-2019;6433.3;2289.14;2600;2600
30-08-2019;6492.81;2310.31;2600;2600
31-08-2019;6514.79;2318.13;2600;2600
01-09-2019;6600.91;2348.78;2600;2600
02-09-2019;6999.2;2490.5;2600;2600
03-09-2019;7186.43;2557.12;2600;2600
04-09-2019;7166.79;2550.13;2600;2600
05-09-2019;7153.96;2545.57;2600;2600
06-09-2019;7003.63;2492.07;2600;2600
07-09-2019;7114.54;2531.54;2600;2600
08-09-2019;7063.14;2513.25;2600;2600
09-09-2019;6991.23;2487.66;2600;2600
10-09-2019;6843.09;2434.95;2600;2600
11-09-2019;6885.29;2449.97;2600;2600
12-09-2019;7042.07;2505.75;2600;2600
13-09-2019;7008.53;2493.82;2600;2600
14-09-2019;7006.84;2493.22;2600;2600
15-09-2019;6999.85;2490.73;2600;2600
16-09-2019;6951.87;2473.66;2600;2600
17-09-2019;6927.84;2465.11;2600;2600
18-09-2019;6898.74;2454.75;2600;2600
19-09-2019;6944.85;2471.16;2600;2600
20-09-2019;6887.51;2450.76;2600;2600
21-09-2019;6777.97;2411.78;2600;2600
22-09-2019;6812.25;2423.98;2600;2600
23-09-2019;6581.53;2341.88;2600;2600
24-09-2019;5831.5;2075;2600;2600
25-09-2019;5741.14;2042.85;2600;2600
26-09-2019;5492.18;1954.26;2600;2600
27-09-2019;5582.07;1986.25;2600;2600
28-09-2019;5578.06;1984.82;2600;2600
29-09-2019;5482.18;1950.7;2600;2600
30-09-2019;5610.5;1996.36;2600;2600
01-10-2019;5643.92;2008.25;2600;2600
02-10-2019;5677.58;2020.23;2600;2600
03-10-2019;5587.58;1988.21;2600;2600
04-10-2019;5551.02;1975.2;2600;2600
05-10-2019;5514.19;1962.09;2600;2600
06-10-2019;5403.69;1922.78;2600;2600
07-10-2019;5577.86;1984.75;2600;2600
08-10-2019;5566.47;1980.7;2600;2600
09-10-2019;5814.7;2069.02;2600;2600
10-10-2019;5808.43;2066.79;2600;2600
11-10-2019;5629.36;2003.07;2600;2600
12-10-2019;5639.37;2006.64;2600;2600
13-10-2019;5628.85;2002.89;2600;2600
14-10-2019;5665.17;2015.82;2600;2600
15-10-2019;5550.63;1975.06;2600;2600
16-10-2019;5443.86;1937.07;2600;2600
17-10-2019;5482;1950.64;2600;2600
18-10-2019;5393.58;1919.18;2600;2600
19-10-2019;5403.97;1922.87;2600;2600
20-10-2019;5561.93;1979.08;2600;2600
21-10-2019;5576.57;1984.29;2600;2600
22-10-2019;5464.61;1944.45;2600;2600
23-10-2019;5083.4;1808.81;2600;2600
24-10-2019;5069.07;1803.71;2600;2600
25-10-2019;5858.65;2084.66;2600;2600
26-10-2019;6253.88;2225.3;2600;2600
27-10-2019;6461.38;2299.13;2600;2600
28-10-2019;6261.44;2227.99;2600;2600
29-10-2019;6377.48;2269.28;2600;2600
30-10-2019;6227.34;2215.85;2600;2600
31-10-2019;6223.18;2214.37;2600;2600
01-11-2019;6264.8;2229.18;2600;2600
02-11-2019;6307.83;2244.49;2600;2600
03-11-2019;6247.38;2222.98;2600;2600
04-11-2019;6367.29;2265.65;2600;2600
05-11-2019;6319.88;2248.78;2600;2600
06-11-2019;6332.29;2253.2;2600;2600
07-11-2019;6269.16;2230.73;2600;2600
08-11-2019;5956.18;2119.36;2600;2600
09-11-2019;5962.06;2121.46;2600;2600
10-11-2019;6125.73;2179.7;2600;2600
11-11-2019;5924.32;2108.03;2600;2600
12-11-2019;5963.47;2121.96;2600;2600
13-11-2019;5958.47;2120.18;2600;2600
14-11-2019;5890.71;2096.07;2600;2600
15-11-2019;5744.52;2044.05;2600;2600
16-11-2019;5784.28;2058.2;2600;2600
17-11-2019;5802.69;2064.75;2600;2600
18-11-2019;5620.93;2000.07;2600;2600
19-11-2019;5551.16;1975.25;2600;2600
20-11-2019;5430.15;1932.19;2600;2600
21-11-2019;5170.04;1839.64;2600;2600
22-11-2019;4935.87;1756.31;2600;2600
23-11-2019;5004.34;1780.67;2600;2600
24-11-2019;4767.66;1696.46;2600;2600
25-11-2019;4834.1;1720.1;2600;2600
26-11-2019;4882.96;1737.49;2600;2600
27-11-2019;5094.89;1812.9;2600;2600
28-11-2019;5048.52;1796.39;2600;2600
29-11-2019;5250.2;1868.16;2600;2600
30-11-2019;5120.58;1822.04;2600;2600
01-12-2019;5022.26;1787.05;2600;2600
02-12-2019;4953.06;1762.43;2600;2600
03-12-2019;4951.81;1761.98;2600;2600
04-12-2019;4905.73;1745.59;2600;2600
05-12-2019;5038.51;1792.83;2600;2600
06-12-2019;5105.27;1816.59;2600;2600
07-12-2019;5111.52;1818.81;2600;2600
08-12-2019;5117;1820.76;2600;2600
09-12-2019;5006.44;1781.42;2600;2600
10-12-2019;4923.38;1751.87;2600;2600
11-12-2019;4882.32;1737.26;2600;2600
12-12-2019;4899.71;1743.45;2600;2600
13-12-2019;4917.67;1749.84;2600;2600
14-12-2019;4819.58;1714.93;2600;2600
15-12-2019;4838.27;1721.58;2600;2600
16-12-2019;4689.57;1668.67;2600;2600
17-12-2019;4492.06;1598.39;2600;2600
18-12-2019;4922.49;1751.55;2600;2600
19-12-2019;4872.46;1733.75;2600;2600
20-12-2019;4883.26;1737.59;2600;2600
21-12-2019;4864.55;1730.94;2600;2600
22-12-2019;5081.31;1808.06;2600;2600
23-12-2019;4975.81;1770.52;2600;2600
24-12-2019;4953.42;1762.56;2600;2600
25-12-2019;4921.38;1751.15;2600;2600
26-12-2019;4896.89;1742.44;2600;2600
27-12-2019;4931.48;1754.75;2600;2600
28-12-2019;4950.35;1761.46;2600;2600
29-12-2019;5021.15;1786.66;2600;2600
30-12-2019;4933.44;1755.45;2600;2600
31-12-2019;4866.21;1731.52;2600;2600
