date;crypto;savings
01-01-2017;0;0
02-01-2017;0;0
03-01-2017;0.04790006;0.04790006
04-01-2017;0.04790006;0.04330017
05-01-2017;0.04790006;0.04933983
06-01-2017;0.04790006;0.05542002
07-01-2017;0.04790006;0.05503062
08-01-2017;0.04790006;0.05487276
09-01-2017;0.04790006;0.05538153
10-01-2017;0.10298562;0.1101711
11-01-2017;0.10298562;0.12857486
12-01-2017;0.10298562;0.12424923
13-01-2017;0.10298562;0.12136158
14-01-2017;0.10298562;0.12218785
15-01-2017;0.10298562;0.12168441
16-01-2017;0.10298562;0.12025967
17-01-2017;0.15805546;0.16520952
18-01-2017;0.15805546;0.16918222
19-01-2017;0.15805546;0.16683851
20-01-2017;0.15805546;0.1675929
21-01-2017;0.15805546;0.16272704
22-01-2017;0.15805546;0.16221951
23-01-2017;0.15805546;0.16286432
24-01-2017;0.21406613;0.22404269
25-01-2017;0.21406613;0.22184213
26-01-2017;0.21406613;0.21796322
27-01-2017;0.21406613;0.21745039
28-01-2017;0.21406613;0.21701624
29-01-2017;0.21406613;0.21751047
30-01-2017;0.21406613;0.21730107
31-01-2017;0.26559111;0.25762492
01-02-2017;0.26559111;0.25277471
02-02-2017;0.26559111;0.24708441
03-02-2017;0.26559111;0.24273965
04-02-2017;0.26559111;0.23971617
05-02-2017;0.26559111;0.2433469
06-02-2017;0.26559111;0.24081298
07-02-2017;0.31270093;0.28265888
08-02-2017;0.31270093;0.28220156
09-02-2017;0.31270093;0.30169462
10-02-2017;0.31270093;0.30343672
11-02-2017;0.31270093;0.29867091
12-02-2017;0.31270093;0.30024589
13-02-2017;0.31270093;0.30283391
14-02-2017;0.36247446;0.34841472
15-02-2017;0.36247446;0.34740144
16-02-2017;0.36247446;0.34065252
17-02-2017;0.36247446;0.33454088
18-02-2017;0.36247446;0.33193603
19-02-2017;0.36247446;0.3340109
20-02-2017;0.36247446;0.32408008
21-02-2017;0.40730544;0.35864788
22-02-2017;0.40730544;0.35796107
23-02-2017;0.40730544;0.34284148
24-02-2017;0.40730544;0.34080838
25-02-2017;0.40730544;0.34969927
26-02-2017;0.40730544;0.34328872
27-02-2017;0.40730544;0.33899168
28-02-2017;0.4496794;0.38136564
01-03-2017;0.4496794;0.36809816
02-03-2017;0.4496794;0.35970935
03-03-2017;0.4496794;0.35294395
04-03-2017;0.4496794;0.35852288
05-03-2017;0.4496794;0.35513606
06-03-2017;0.4496794;0.3535429
07-03-2017;0.49054443;0.4086503
08-03-2017;0.49054443;0.43478261
09-03-2017;0.49054443;0.4207019
10-03-2017;0.49054443;0.44773982
11-03-2017;0.49054443;0.42523155
12-03-2017;0.49054443;0.409373
13-03-2017;0.49054443;0.4058705
14-03-2017;0.53086701;0.44354839
15-03-2017;0.53086701;0.44013733
16-03-2017;0.53086701;0.46303699
17-03-2017;0.53086701;0.49989549
18-03-2017;0.53086701;0.56478726
19-03-2017;0.53086701;0.5305091
20-03-2017;0.53086701;0.5217078
21-03-2017;0.57548835;0.5354561
22-03-2017;0.57548835;0.57189697
23-03-2017;0.57548835;0.57770633
24-03-2017;0.57548835;0.63998633
25-03-2017;0.57548835;0.61678964
26-03-2017;0.57548835;0.62065222
27-03-2017;0.57548835;0.57373991
28-03-2017;0.623237;0.62073245
29-03-2017;0.623237;0.62501805
30-03-2017;0.623237;0.63326283
31-03-2017;0.623237;0.60646206
01-04-2017;0.623237;0.60157335
02-04-2017;0.623237;0.58974566
03-04-2017;0.623237;0.56827617
04-04-2017;0.6673579;0.61769248
05-04-2017;0.6673579;0.62234391
06-04-2017;0.6673579;0.59187605
07-04-2017;0.6673579;0.59478289
08-04-2017;0.6673579;0.59526343
