date;lumpsum1 crypto;lumpsum2 crypto;savings1;savings2
01-01-2018;0;0;0;0
02-01-2018;2600;0;2600;0
03-01-2018;2637.99;0;2600;0
04-01-2018;2707.09;0;2600;0
05-01-2018;3024.72;0;2600;0
06-01-2018;3041.64;0;2600;0
07-01-2018;2859.53;0;2600;0
08-01-2018;2632.63;0;2600;0
09-01-2018;2532.89;0;2600;0
10-01-2018;2598.47;0;2600;0
11-01-2018;2326.45;0;2600;0
12-01-2018;2426.2;0;2600;0
13-01-2018;2492.08;0;2600;0
14-01-2018;2390;0;2600;0
15-01-2018;2398.29;0;2600;0
16-01-2018;1994.07;0;2600;0
17-01-2018;1941.67;0;2600;0
18-01-2018;1991.36;0;2600;0
19-01-2018;2014.35;0;2600;0
20-01-2018;2238.53;0;2600;0
21-01-2018;2013.09;0;2600;0
22-01-2018;1897.04;0;2600;0
23-01-2018;1886.11;0;2600;0
24-01-2018;1971.32;0;2600;0
25-01-2018;1953.96;0;2600;0
26-01-2018;1938.69;0;2600;0
27-01-2018;1985.42;0;2600;0
28-01-2018;2045.4;0;2600;0
29-01-2018;1960.38;0;2600;0
30-01-2018;1753.85;0;2600;0
31-01-2018;1773.77;0;2600;0
01-02-2018;1591.46;0;2600;0
02-02-2018;1532.49;0;2600;0
03-02-2018;1592.22;0;2600;0
04-02-2018;1436.4;0;2600;0
05-02-2018;1207.02;0;2600;0
06-02-2018;1345.63;0;2600;0
07-02-2018;1322.6;0;2600;0
08-02-2018;1434.41;0;2600;0
09-02-2018;1516.22;0;2600;0
10-02-2018;1496.25;0;2600;0
11-02-2018;1410.88;0;2600;0
12-02-2018;1549.12;0;2600;0
13-02-2018;1492.15;0;2600;0
14-02-2018;1647.7;0;2600;0
15-02-2018;1764.28;0;2600;0
16-02-2018;1776;0;2600;0
17-02-2018;1928.5;0;2600;0
18-02-2018;1831.16;0;2600;0
19-02-2018;1948.04;0;2600;0
20-02-2018;1979;0;2600;0
21-02-2018;1855.22;0;2600;0
22-02-2018;1736.27;0;2600;0
23-02-2018;1787.66;0;2600;0
24-02-2018;1702.96;0;2600;0
