date;crypto investment;savings
27-07-2018;1447.53;1500
28-07-2018;1452.34;1500
29-07-2018;1457.01;1500
30-07-2018;1450.28;1500
31-07-2018;1429.35;1550
01-08-2018;1400.78;1550
02-08-2018;1390.17;1550
03-08-2018;1365.78;1550
04-08-2018;1292.01;1550
05-08-2018;1298.56;1550
06-08-2018;1277.12;1550
07-08-2018;1290.62;1600
08-08-2018;1205.13;1600
09-08-2018;1255.29;1600
10-08-2018;1181.99;1600
11-08-2018;1203.21;1600
12-08-2018;1208.36;1600
13-08-2018;1203.56;1600
14-08-2018;1234.86;1650
15-08-2018;1256.53;1650
16-08-2018;1261.75;1650
17-08-2018;1310.73;1650
18-08-2018;1279.49;1650
19-08-2018;1295.88;1650
20-08-2018;1256.53;1650
21-08-2018;1342.43;1700
22-08-2018;1319.25;1700
23-08-2018;1351.97;1700
24-08-2018;1390.26;1700
25-08-2018;1399.21;1700
26-08-2018;1387.64;1700
27-08-2018;1424.33;1700
28-08-2018;1518.12;1750
29-08-2018;1507.61;1750
30-08-2018;1492.86;1750
31-08-2018;1505.56;1750
01-09-2018;1538.86;1750
02-09-2018;1555.87;1750
03-09-2018;1553.16;1750
04-09-2018;1624.89;1800
05-09-2018;1499.34;1800
06-09-2018;1441.14;1800
07-09-2018;1427.44;1800
08-09-2018;1374.22;1800
09-09-2018;1390.75;1800
10-09-2018;1397.11;1800
11-09-2018;1445.24;1850
12-09-2018;1452.23;1850
13-09-2018;1490.08;1850
14-09-2018;1489.02;1850
15-09-2018;1496;1850
16-09-2018;1490.05;1850
17-09-2018;1436.09;1850
18-09-2018;1506.69;1900
19-09-2018;1513.13;1900
20-09-2018;1541.78;1900
21-09-2018;1592.69;1900
22-09-2018;1589.62;1900
23-09-2018;1586.94;1900
24-09-2018;1559.69;1900
25-09-2018;1574.47;1950
26-09-2018;1586.32;1950
27-09-2018;1630.71;1950
28-09-2018;1622.75;1950
29-09-2018;1612.45;1950
30-09-2018;1618.21;1950
01-10-2018;1609.43;1950
02-10-2018;1651.24;2000
03-10-2018;1637.77;2000
04-10-2018;1656.43;2000
05-10-2018;1667.96;2000
