date;dva1 crypto;dva2 crypto + cash;dva2 crypto;dva1 expenses;dva2 expenses;savings;no withdraw (dva1);full adjustment (dva2)
01-01-2017;0;0;0;0;0;0;0;0
02-01-2017;0;0;0;0;0;0;0;0
03-01-2017;50;50;50;50;50;50;0,05;0,05
04-01-2017;55,31;55,31;55,31;50;50;50;0,05;0,05
05-01-2017;48,54;48,54;48,54;50;50;50;0,05;0,05
06-01-2017;43,22;43,22;43,22;50;50;50;0,05;0,05
07-01-2017;43,52;43,52;43,52;50;50;50;0,05;0,05
08-01-2017;43,65;43,65;43,65;50;50;50;0,05;0,05
09-01-2017;43,25;43,25;43,25;50;50;50;0,05;0,05
10-01-2017;100;100;100;106,52;106,52;100;0,11;0,11
11-01-2017;85,69;85,69;85,69;106,52;106,52;100;0,11;0,11
12-01-2017;88,67;88,67;88,67;106,52;106,52;100;0,11;0,11
13-01-2017;90,78;90,78;90,78;106,52;106,52;100;0,11;0,11
14-01-2017;90,17;90,17;90,17;106,52;106,52;100;0,11;0,11
15-01-2017;90,54;90,54;90,54;106,52;106,52;100;0,11;0,11
16-01-2017;91,61;91,61;91,61;106,52;106,52;100;0,11;0,11
17-01-2017;150;150;150;156,49;156,49;150;0,17;0,17
18-01-2017;146,48;146,48;146,48;156,49;156,49;150;0,17;0,17
19-01-2017;148,54;148,54;148,54;156,49;156,49;150;0,17;0,17
20-01-2017;147,87;147,87;147,87;156,49;156,49;150;0,17;0,17
21-01-2017;152,29;152,29;152,29;156,49;156,49;150;0,17;0,17
22-01-2017;152,76;152,76;152,76;156,49;156,49;150;0,17;0,17
23-01-2017;152,16;152,16;152,16;156,49;156,49;150;0,17;0,17
24-01-2017;200;200;200;209,01;209,01;200;0,22;0,22
25-01-2017;201,98;201,98;201,98;209,01;209,01;200;0,22;0,22
26-01-2017;205,58;205,58;205,58;209,01;209,01;200;0,22;0,22
27-01-2017;206,06;206,06;206,06;209,01;209,01;200;0,22;0,22
28-01-2017;206,48;206,48;206,48;209,01;209,01;200;0,22;0,22
29-01-2017;206,01;206,01;206,01;209,01;209,01;200;0,22;0,22
30-01-2017;206,2;206,2;206,2;209,01;209,01;200;0,22;0,22
31-01-2017;250;250;250;241,6;241,6;250;0,26;0,26
01-02-2017;254,8;254,8;254,8;241,6;241,6;250;0,26;0,26
02-02-2017;260,66;260,66;260,66;241,6;241,6;250;0,26;0,26
03-02-2017;265,33;265,33;265,33;241,6;241,6;250;0,26;0,26
04-02-2017;268,68;268,68;268,68;241,6;241,6;250;0,26;0,26
05-02-2017;264,67;264,67;264,67;241,6;241,6;250;0,26;0,26
06-02-2017;267,45;267,45;267,45;241,6;241,6;250;0,26;0,26
07-02-2017;300;300;300;268,17;268,17;300;0,28;0,28
08-02-2017;300,49;300,49;300,49;268,17;268,17;300;0,28;0,28
09-02-2017;281,07;281,07;281,07;268,17;268,17;300;0,28;0,28
10-02-2017;279,46;279,46;279,46;268,17;268,17;300;0,28;0,28
11-02-2017;283,92;283,92;283,92;268,17;268,17;300;0,28;0,28
12-02-2017;282,43;282,43;282,43;268,17;268,17;300;0,28;0,28
13-02-2017;280,01;280,01;280,01;268,17;268,17;300;0,28;0,28
14-02-2017;350;350;350;334,23;334,23;350;0,35;0,35
15-02-2017;351,02;351,02;351,02;334,23;334,23;350;0,35;0,35
16-02-2017;357,98;357,98;357,98;334,23;334,23;350;0,35;0,35
17-02-2017;364,51;364,51;364,51;334,23;334,23;350;0,35;0,35
18-02-2017;367,38;367,38;367,38;334,23;334,23;350;0,35;0,35
19-02-2017;365,09;365,09;365,09;334,23;334,23;350;0,35;0,35
20-02-2017;376,28;376,28;376,28;334,23;334,23;350;0,35;0,35
21-02-2017;400;400;400;345,64;345,64;400;0,36;0,36
22-02-2017;400,77;400,77;400,77;345,64;345,64;400;0,36;0,36
23-02-2017;418,44;418,44;418,44;345,64;345,64;400;0,36;0,36
24-02-2017;420,94;420,94;420,94;345,64;345,64;400;0,36;0,36
25-02-2017;410,24;410,24;410,24;345,64;345,64;400;0,36;0,36
26-02-2017;417,9;417,9;417,9;345,64;345,64;400;0,36;0,36
27-02-2017;423,19;423,19;423,19;345,64;345,64;400;0,36;0,36
28-02-2017;450;450;450;372,45;372,45;450;0,38;0,38
01-03-2017;466,22;466,22;466,22;372,45;372,45;450;0,38;0,38
02-03-2017;477,09;477,09;477,09;372,45;372,45;450;0,38;0,38
03-03-2017;486,24;486,24;486,24;372,45;372,45;450;0,38;0,38
04-03-2017;478,67;478,67;478,67;372,45;372,45;450;0,38;0,38
05-03-2017;483,24;483,24;483,24;372,45;372,45;450;0,38;0,38
06-03-2017;485,41;485,41;485,41;372,45;372,45;450;0,38;0,38
07-03-2017;500;500;500;405,83;405,83;500;0,41;0,41
08-03-2017;469,95;469,95;469,95;405,83;405,83;500;0,41;0,41
09-03-2017;485,68;485,68;485,68;405,83;405,83;500;0,41;0,41
10-03-2017;456,35;456,35;456,35;405,83;405,83;500;0,41;0,41
11-03-2017;480,5;480,5;480,5;405,83;405,83;500;0,41;0,41
12-03-2017;499,12;499,12;499,12;405,83;405,83;500;0,41;0,41
