date;dca;dva (no withdraw);dva (full);lump-sum;lump-sum mid-year
01-01-2015;0;0;0;0;0
02-01-2015;0;0;0;0;0
03-01-2015;0;0;0;0;0
04-01-2015;0;0;0;0;0
05-01-2015;0;0;0;0;0
06-01-2015;50;50;50;2600;0
07-01-2015;51;51;51;2674;0
08-01-2015;50;50;50;2574;0
09-01-2015;51;51;51;2638;0
10-01-2015;48;48;48;2496;0
11-01-2015;46;46;46;2413;0
12-01-2015;47;47;47;2433;0
13-01-2015;89;100;100;2052;0
14-01-2015;71;79;79;1618;0
15-01-2015;83;93;93;1906;0
16-01-2015;82;92;92;1891;0
17-01-2015;79;88;88;1810;0
18-01-2015;83;93;93;1911;0
19-01-2015;85;95;95;1952;0
20-01-2015;134;150;150;1920;0
21-01-2015;144;161;161;2061;0
22-01-2015;148;166;166;2120;0
23-01-2015;147;165;165;2116;0
24-01-2015;157;176;176;2252;0
25-01-2015;161;180;180;2305;0
26-01-2015;173;194;194;2484;0
27-01-2015;217;200;200;2394;0
28-01-2015;192;178;178;2125;0
29-01-2015;192;177;177;2121;0
30-01-2015;186;172;172;2057;0
31-01-2015;179;165;165;1976;0
01-02-2015;187;172;172;2062;0
02-02-2015;196;181;181;2164;0
03-02-2015;237;250;250;2065;0
04-02-2015;236;250;250;2061;0
05-02-2015;226;239;239;1972;0
06-02-2015;232;244;244;2019;0
07-02-2015;237;251;251;2069;0
08-02-2015;233;246;246;2030;0
09-02-2015;229;242;242;2000;0
10-02-2015;279;300;300;1997;0
11-02-2015;278;299;299;1991;0
12-02-2015;282;303;303;2015;0
13-02-2015;299;321;321;2139;0
14-02-2015;327;351;351;2338;0
15-02-2015;298;320;320;2133;0
16-02-2015;297;319;319;2124;0
17-02-2015;359;350;350;2213;0
18-02-2015;349;340;340;2147;0
19-02-2015;354;345;345;2183;0
20-02-2015;360;350;350;2215;0
21-02-2015;361;351;351;2222;0
22-02-2015;348;339;339;2144;0
23-02-2015;352;343;343;2170;0
24-02-2015;402;400;400;2169;0
25-02-2015;400;398;398;2157;0
26-02-2015;398;396;396;2148;0
27-02-2015;428;425;425;2306;0
28-02-2015;428;426;426;2310;0
01-03-2015;438;436;436;2364;0
02-03-2015;464;462;462;2504;0
03-03-2015;525;472;472;2559;0
04-03-2015;509;458;458;2481;0
05-03-2015;514;463;463;2509;0
06-03-2015;508;457;458;2478;0
07-03-2015;514;463;463;2510;0
08-03-2015;511;460;460;2492;0
09-03-2015;539;485;485;2631;0
