date;dca;dva (no withdraw);dva (full);lump-sum;lump-sum mid-year
01-01-2016;0;0;0;0;0
02-01-2016;0;0;0;0;0
03-01-2016;0;0;0;0;0
04-01-2016;0;0;0;0;0
05-01-2016;50;50;50;2600;0
06-01-2016;50;50;50;2583;0
07-01-2016;53;53;53;2757;0
08-01-2016;52;52;52;2728;0
09-01-2016;52;52;52;2694;0
10-01-2016;52;52;52;2696;0
11-01-2016;52;52;52;2699;0
12-01-2016;100;100;100;2622;0
13-01-2016;100;99;99;2602;0
14-01-2016;99;99;99;2590;0
15-01-2016;84;84;84;2193;0
16-01-2016;89;89;89;2333;0
17-01-2016;88;88;88;2301;0
18-01-2016;89;89;89;2330;0
19-01-2016;138;150;150;2288;0
20-01-2016;152;166;166;2529;0
21-01-2016;149;162;162;2469;0
22-01-2016;138;151;151;2302;0
23-01-2016;140;153;153;2332;0
24-01-2016;146;159;159;2426;0
25-01-2016;142;155;155;2358;0
26-01-2016;192;200;200;2360;0
27-01-2016;193;201;201;2377;0
28-01-2016;186;194;194;2289;0
29-01-2016;186;194;194;2284;0
30-01-2016;185;193;193;2277;0
31-01-2016;181;188;188;2220;0
01-02-2016;183;190;190;2245;0
02-02-2016;233;250;250;2254;0
03-02-2016;231;247;247;2227;0
04-02-2016;243;260;260;2345;0
05-02-2016;241;258;258;2327;0
06-02-2016;235;251;251;2266;0
07-02-2016;235;251;251;2267;0
08-02-2016;233;249;249;2248;0
09-02-2016;284;300;300;2263;0
10-02-2016;289;304;304;2297;0
11-02-2016;287;303;303;2285;0
12-02-2016;291;307;307;2313;0
13-02-2016;296;313;313;2359;0
14-02-2016;308;325;325;2451;0
15-02-2016;303;319;319;2409;0
16-02-2016;358;350;350;2453;0
17-02-2016;366;358;358;2506;0
18-02-2016;371;363;363;2542;0
19-02-2016;370;361;361;2533;0
20-02-2016;384;375;375;2631;0
21-02-2016;386;377;377;2641;0
22-02-2016;385;376;376;2635;0
23-02-2016;420;400;400;2532;0
24-02-2016;424;404;404;2558;0
25-02-2016;424;404;404;2555;0
26-02-2016;431;411;411;2601;0
27-02-2016;431;411;411;2603;0
28-02-2016;432;412;412;2609;0
29-02-2016;437;416;416;2635;0
01-03-2016;484;450;450;2619;0
02-03-2016;472;438;438;2552;0
03-03-2016;469;436;436;2538;0
04-03-2016;457;425;425;2473;0
05-03-2016;446;414;414;2411;0
06-03-2016;454;422;422;2454;0
07-03-2016;461;428;428;2494;0
08-03-2016;511;500;500;2492;0
09-03-2016;512;501;501;2497;0
10-03-2016;514;504;504;2511;0
