date;dva1 crypto;dva2 crypto + cash;dva2 crypto;dva1 expenses;dva2 expenses;savings;no withdraw (dva1);full adjustment (dva2)
01-01-2016;0;0;0;0;0;0;0;0
02-01-2016;0;0;0;0;0;0;0;0
03-01-2016;0;0;0;0;0;0;0;0
04-01-2016;0;0;0;0;0;0;0;0
05-01-2016;50;50;50;50;50;50;0.12;0.12
06-01-2016;49.67;49.67;49.67;50;50;50;0.12;0.12
07-01-2016;53.02;53.02;53.02;50;50;50;0.12;0.12
08-01-2016;52.46;52.46;52.46;50;50;50;0.12;0.12
09-01-2016;51.81;51.81;51.81;50;50;50;0.12;0.12
10-01-2016;51.86;51.86;51.86;50;50;50;0.12;0.12
11-01-2016;51.91;51.91;51.91;50;50;50;0.12;0.12
12-01-2016;100;100;100;99.57;99.57;100;0.23;0.23
13-01-2016;99.24;99.24;99.24;99.57;99.57;100;0.23;0.23
14-01-2016;98.76;98.76;98.76;99.57;99.57;100;0.23;0.23
15-01-2016;83.62;83.62;83.62;99.57;99.57;100;0.23;0.23
16-01-2016;88.95;88.95;88.95;99.57;99.57;100;0.23;0.23
17-01-2016;87.75;87.75;87.75;99.57;99.57;100;0.23;0.23
18-01-2016;88.86;88.86;88.86;99.57;99.57;100;0.23;0.23
19-01-2016;150;150;150;162.32;162.32;150;0.39;0.39
20-01-2016;165.82;165.82;165.82;162.32;162.32;150;0.39;0.39
21-01-2016;161.88;161.88;161.88;162.32;162.32;150;0.39;0.39
22-01-2016;150.92;150.92;150.92;162.32;162.32;150;0.39;0.39
23-01-2016;152.9;152.9;152.9;162.32;162.32;150;0.39;0.39
24-01-2016;159.01;159.01;159.01;162.32;162.32;150;0.39;0.39
25-01-2016;154.57;154.57;154.57;162.32;162.32;150;0.39;0.39
26-01-2016;200;200;200;207.58;207.58;200;0.51;0.51
27-01-2016;201.44;201.44;201.44;207.58;207.58;200;0.51;0.51
28-01-2016;193.95;193.95;193.95;207.58;207.58;200;0.51;0.51
29-01-2016;193.53;193.53;193.53;207.58;207.58;200;0.51;0.51
30-01-2016;192.91;192.91;192.91;207.58;207.58;200;0.51;0.51
31-01-2016;188.07;188.07;188.07;207.58;207.58;200;0.51;0.51
01-02-2016;190.26;190.26;190.26;207.58;207.58;200;0.51;0.51
02-02-2016;250;250;250;266.61;266.61;250;0.67;0.67
03-02-2016;247;247;247;266.61;266.61;250;0.67;0.67
04-02-2016;260.11;260.11;260.11;266.61;266.61;250;0.67;0.67
05-02-2016;258.08;258.08;258.08;266.61;266.61;250;0.67;0.67
06-02-2016;251.38;251.38;251.38;266.61;266.61;250;0.67;0.67
07-02-2016;251.45;251.45;251.45;266.61;266.61;250;0.67;0.67
08-02-2016;249.33;249.33;249.33;266.61;266.61;250;0.67;0.67
09-02-2016;300;300;300;315.55;315.55;300;0.8;0.8
10-02-2016;304.48;304.48;304.48;315.55;315.55;300;0.8;0.8
11-02-2016;302.89;302.89;302.89;315.55;315.55;300;0.8;0.8
12-02-2016;306.57;306.57;306.57;315.55;315.55;300;0.8;0.8
13-02-2016;312.63;312.63;312.63;315.55;315.55;300;0.8;0.8
14-02-2016;324.89;324.89;324.89;315.55;315.55;300;0.8;0.8
15-02-2016;319.27;319.27;319.27;315.55;315.55;300;0.8;0.8
