date;crypto;savings
30-05-2015;4.3220072;4.49977499
31-05-2015;4.3220072;4.5614492
01-06-2015;4.3220072;4.71008327
02-06-2015;4.54343916;4.87150317
03-06-2015;4.54343916;4.86997191
04-06-2015;4.54343916;4.90362144
05-06-2015;4.54343916;4.88993216
06-06-2015;4.54343916;4.87547585
07-06-2015;4.54343916;4.93536916
08-06-2015;4.54343916;4.81423618
09-06-2015;4.76173401;5.02078158
10-06-2015;4.76173401;5.02615801
11-06-2015;4.76173401;5.00642124
12-06-2015;4.76173401;5.00039144
13-06-2015;4.76173401;4.94832245
14-06-2015;4.76173401;4.92414675
15-06-2015;4.76173401;4.85594731
16-06-2015;4.96102056;4.78287722
17-06-2015;4.96102056;4.81378674
18-06-2015;4.96102056;4.81914155
19-06-2015;4.96102056;4.90584853
20-06-2015;4.96102056;4.89372449
21-06-2015;4.96102056;4.91916177
22-06-2015;4.96102056;4.8584962
23-06-2015;5.1656903;5.11674352
24-06-2015;5.1656903;5.19718107
25-06-2015;5.1656903;5.14829147
26-06-2015;5.1656903;5.13148941
27-06-2015;5.1656903;4.980278
28-06-2015;5.1656903;5.01985852
29-06-2015;5.1656903;4.8626024
30-06-2015;5.35575234;4.94161311
01-07-2015;5.35575234;5.0266606
02-07-2015;5.35575234;5.08981561
03-07-2015;5.35575234;5.07146872
04-07-2015;5.35575234;4.98301967
05-07-2015;5.35575234;4.78094107
06-07-2015;5.35575234;4.83217487
07-07-2015;5.54357611;5.07124153
08-07-2015;5.54357611;4.98550503
09-07-2015;5.54357611;5.01433735
10-07-2015;5.54357611;4.73860433
11-07-2015;5.54357611;4.60570099
12-07-2015;5.54357611;4.34269312
13-07-2015;5.54357611;4.62243306
14-07-2015;5.71751093;4.87017523
15-07-2015;5.71751093;4.89803327
16-07-2015;5.71751093;5.0343597
17-07-2015;5.71751093;5.00944665
18-07-2015;5.71751093;5.09274246
19-07-2015;5.71751093;5.11669698
20-07-2015;5.71751093;5.01826311
21-07-2015;5.89878003;5.25680378
22-07-2015;5.89878003;5.2304654
23-07-2015;5.89878003;5.25269044
24-07-2015;5.89878003;5.02986674
25-07-2015;5.89878003;5.02256707
26-07-2015;5.89878003;4.95411456
27-07-2015;5.89878003;4.93828854
28-07-2015;6.06860141;5.09464142
29-07-2015;6.06860141;5.17973694
30-07-2015;6.06860141;5.21336595
31-07-2015;6.06860141;5.26962948
01-08-2015;6.06860141;5.32668538
02-08-2015;6.06860141;5.30759243
03-08-2015;6.06860141;5.33376971
04-08-2015;6.24390592;5.43443987
05-08-2015;6.24390592;5.49875501
06-08-2015;6.24390592;5.56399136
07-08-2015;6.24390592;5.54393136
08-08-2015;6.24390592;5.93876537
09-08-2015;6.24390592;5.84722503
10-08-2015;6.24390592;5.86077814
11-08-2015;6.42882675;5.91746645
12-08-2015;6.42882675;6.00654698
13-08-2015;6.42882675;6.05877037
14-08-2015;6.42882675;6.0222826
15-08-2015;6.42882675;6.1173539
16-08-2015;6.42882675;6.18938778
17-08-2015;6.42882675;6.20212702
18-08-2015;6.66570489;7.81697866
19-08-2015;6.66570489;7.27885495
20-08-2015;6.66570489;7.01083475
21-08-2015;6.66570489;7.09466868
22-08-2015;6.66570489;7.16176921
23-08-2015;6.66570489;7.23148174
24-08-2015;6.66570489;7.83866619
25-08-2015;6.8913275;7.6711688
26-08-2015;6.8913275;7.52775325
27-08-2015;6.8913275;7.56332067
28-08-2015;6.8913275;7.34671312
29-08-2015;6.8913275;7.39838109
30-08-2015;6.8913275;7.43133657
31-08-2015;6.8913275;7.38950516
01-09-2015;7.11050943;7.67136732
02-09-2015;7.11050943;7.63245592
03-09-2015;7.11050943;7.70304119
04-09-2015;7.11050943;7.59885005
05-09-2015;7.11050943;7.44620657
06-09-2015;7.11050943;7.29653114
07-09-2015;7.11050943;7.29631807
08-09-2015;7.31575805;7.38895039
09-09-2015;7.31575805;7.5576904
10-09-2015;7.31575805;7.54789754
11-09-2015;7.31575805;7.4966579
12-09-2015;7.31575805;7.65211759
13-09-2015;7.31575805;7.80870434
14-09-2015;7.31575805;7.8042352
15-09-2015;7.5328624;8.03286088
16-09-2015;7.5328624;8.07539352
17-09-2015;7.5328624;8.05012844
18-09-2015;7.5328624;7.94076597
19-09-2015;7.5328624;7.99160248
20-09-2015;7.5328624;8.0013146
21-09-2015;7.5328624;8.14672895
22-09-2015;7.74967115;8.23873259
23-09-2015;7.74967115;8.25071742
24-09-2015;7.74967115;8.1013433
25-09-2015;7.74967115;8.08015524
26-09-2015;7.74967115;8.10787758
27-09-2015;7.74967115;8.16301966
28-09-2015;7.74967115;7.94507036
29-09-2015;7.96092061;8.23872892
30-09-2015;7.96092061;8.26061178
01-10-2015;7.96092061;8.20883284
02-10-2015;7.96092061;8.21768871
03-10-2015;7.96092061;8.16822365
04-10-2015;7.96092061;8.18437069
05-10-2015;7.96092061;8.11205465
