date;dva (no withdraw);dva (crypto ptf + cash);savings;dva (crypto ptf);no withdraw;full adjustment
01-01-2017;0;0;0;0;0;0
02-01-2017;0;0;0;0;0;0
03-01-2017;50;50;50;50;0.04790006;0.04790006
04-01-2017;55.31;55.31;50;55.31;0.04790006;0.04790006
05-01-2017;48.54;48.54;50;48.54;0.04790006;0.04790006
06-01-2017;43.22;43.22;50;43.22;0.04790006;0.04790006
07-01-2017;43.52;43.52;50;43.52;0.04790006;0.04790006
08-01-2017;43.65;43.65;50;43.65;0.04790006;0.04790006
09-01-2017;43.25;43.25;50;43.25;0.04790006;0.04790006
10-01-2017;100;100;100;100;0.1101711;0.1101711
11-01-2017;85.69;85.69;100;85.69;0.1101711;0.1101711
12-01-2017;88.67;88.67;100;88.67;0.1101711;0.1101711
13-01-2017;90.78;90.78;100;90.78;0.1101711;0.1101711
14-01-2017;90.17;90.17;100;90.17;0.1101711;0.1101711
15-01-2017;90.54;90.54;100;90.54;0.1101711;0.1101711
16-01-2017;91.61;91.61;100;91.61;0.1101711;0.1101711
17-01-2017;150;150;150;150;0.16520952;0.16520952
18-01-2017;146.48;146.48;150;146.48;0.16520952;0.16520952
19-01-2017;148.54;148.54;150;148.54;0.16520952;0.16520952
20-01-2017;147.87;147.87;150;147.87;0.16520952;0.16520952
21-01-2017;152.29;152.29;150;152.29;0.16520952;0.16520952
22-01-2017;152.76;152.76;150;152.76;0.16520952;0.16520952
23-01-2017;152.16;152.16;150;152.16;0.16520952;0.16520952
24-01-2017;200;200;200;200;0.22404269;0.22404269
25-01-2017;201.98;201.98;200;201.98;0.22404269;0.22404269
26-01-2017;205.58;205.58;200;205.58;0.22404269;0.22404269
27-01-2017;206.06;206.06;200;206.06;0.22404269;0.22404269
28-01-2017;206.48;206.48;200;206.48;0.22404269;0.22404269
29-01-2017;206.01;206.01;200;206.01;0.22404269;0.22404269
30-01-2017;206.2;206.2;200;206.2;0.22404269;0.22404269
31-01-2017;250;250;250;250;0.25762492;0.25762492
01-02-2017;254.8;254.8;250;254.8;0.25762492;0.25762492
02-02-2017;260.66;260.66;250;260.66;0.25762492;0.25762492
03-02-2017;265.33;265.33;250;265.33;0.25762492;0.25762492
04-02-2017;268.68;268.68;250;268.68;0.25762492;0.25762492
05-02-2017;264.67;264.67;250;264.67;0.25762492;0.25762492
06-02-2017;267.45;267.45;250;267.45;0.25762492;0.25762492
07-02-2017;300;300;300;300;0.28265888;0.28265888
08-02-2017;300.49;300.49;300;300.49;0.28265888;0.28265888
09-02-2017;281.07;281.07;300;281.07;0.28265888;0.28265888
10-02-2017;279.46;279.46;300;279.46;0.28265888;0.28265888
11-02-2017;283.92;283.92;300;283.92;0.28265888;0.28265888
12-02-2017;282.43;282.43;300;282.43;0.28265888;0.28265888
13-02-2017;280.01;280.01;300;280.01;0.28265888;0.28265888
14-02-2017;350;350;350;350;0.34841472;0.34841472
15-02-2017;351.02;351.02;350;351.02;0.34841472;0.34841472
16-02-2017;357.98;357.98;350;357.98;0.34841472;0.34841472
17-02-2017;364.51;364.51;350;364.51;0.34841472;0.34841472
18-02-2017;367.38;367.38;350;367.38;0.34841472;0.34841472
19-02-2017;365.09;365.09;350;365.09;0.34841472;0.34841472
20-02-2017;376.28;376.28;350;376.28;0.34841472;0.34841472
21-02-2017;400;400;400;400;0.35864788;0.35864788
22-02-2017;400.77;400.77;400;400.77;0.35864788;0.35864788
23-02-2017;418.44;418.44;400;418.44;0.35864788;0.35864788
24-02-2017;420.94;420.94;400;420.94;0.35864788;0.35864788
25-02-2017;410.24;410.24;400;410.24;0.35864788;0.35864788
26-02-2017;417.9;417.9;400;417.9;0.35864788;0.35864788
27-02-2017;423.19;423.19;400;423.19;0.35864788;0.35864788
28-02-2017;450;450;450;450;0.38136564;0.38136564
