date;crypto investment;savings
06-07-2018;1158,12;2600
07-07-2018;1189,95;2600
08-07-2018;1175,54;2600
09-07-2018;1169,97;2600
10-07-2018;1098,5;2600
11-07-2018;1109,74;2600
12-07-2018;1080,95;2600
13-07-2018;1082,55;2600
14-07-2018;1089,16;2600
15-07-2018;1103,65;2600
16-07-2018;1169,97;2600
17-07-2018;1270,5;2600
18-07-2018;1279,13;2600
19-07-2018;1295,8;2600
20-07-2018;1276,24;2600
21-07-2018;1287,55;2600
22-07-2018;1287,41;2600
23-07-2018;1338,19;2600
24-07-2018;1461,95;2600
25-07-2018;1419,8;2600
26-07-2018;1379,92;2600
27-07-2018;1416,96;2600
28-07-2018;1421,67;2600
29-07-2018;1426,24;2600
30-07-2018;1419,64;2600
31-07-2018;1350,22;2600
01-08-2018;1323,23;2600
02-08-2018;1313,21;2600
03-08-2018;1290,17;2600
04-08-2018;1220,48;2600
05-08-2018;1226,67;2600
06-08-2018;1206,42;2600
07-08-2018;1171,94;2600
08-08-2018;1094,31;2600
09-08-2018;1139,85;2600
10-08-2018;1073,3;2600
11-08-2018;1092,56;2600
12-08-2018;1097,24;2600
13-08-2018;1092,88;2600
14-08-2018;1075,9;2600
15-08-2018;1094,78;2600
16-08-2018;1099,33;2600
17-08-2018;1142,01;2600
18-08-2018;1114,78;2600
19-08-2018;1129,07;2600
20-08-2018;1094,78;2600
21-08-2018;1126,06;2600
22-08-2018;1106,62;2600
23-08-2018;1134,07;2600
24-08-2018;1166,18;2600
25-08-2018;1173,69;2600
26-08-2018;1163,98;2600
27-08-2018;1194,76;2600
28-08-2018;1231,49;2600
29-08-2018;1222,97;2600
30-08-2018;1211,01;2600
31-08-2018;1221,3;2600
01-09-2018;1248,32;2600
02-09-2018;1262,11;2600
03-09-2018;1259,91;2600
04-09-2018;1277,55;2600
05-09-2018;1178,83;2600
06-09-2018;1133,07;2600
07-09-2018;1122,3;2600
08-09-2018;1080,46;2600
09-09-2018;1093,45;2600
10-09-2018;1098,46;2600
11-09-2018;1096,98;2600
12-09-2018;1102,29;2600
13-09-2018;1131,02;2600
14-09-2018;1130,22;2600
15-09-2018;1135,51;2600
16-09-2018;1130,99;2600
17-09-2018;1090,04;2600
18-09-2018;1105,68;2600
19-09-2018;1110,41;2600
20-09-2018;1131,43;2600
21-09-2018;1168,79;2600
22-09-2018;1166,54;2600
23-09-2018;1164,57;2600
24-09-2018;1144,57;2600
25-09-2018;1118,72;2600
26-09-2018;1127,15;2600
27-09-2018;1158,69;2600
28-09-2018;1153,03;2600
29-09-2018;1145,71;2600
30-09-2018;1149,8;2600
01-10-2018;1143,57;2600
02-10-2018;1137,75;2600
03-10-2018;1128,46;2600
04-10-2018;1141,32;2600
05-10-2018;1149,27;2600
06-10-2018;1143,34;2600
07-10-2018;1145,88;2600
08-10-2018;1154,43;2600
09-10-2018;1152,77;2600
10-10-2018;1142,86;2600
11-10-2018;1085,71;2600
12-10-2018;1088,89;2600
13-10-2018;1090,87;2600
14-10-2018;1091,73;2600
15-10-2018;1144,77;2600
16-10-2018;1144,69;2600
17-10-2018;1135,72;2600
18-10-2018;1123,97;2600
19-10-2018;1122,01;2600
20-10-2018;1126,14;2600
21-10-2018;1124,95;2600
22-10-2018;1125,78;2600
23-10-2018;1123,8;2600
24-10-2018;1127,29;2600
25-10-2018;1123,9;2600
26-10-2018;1123,63;2600
27-10-2018;1124,61;2600
28-10-2018;1125,65;2600
29-10-2018;1098,97;2600
30-10-2018;1099,25;2600
31-10-2018;1096,36;2600
01-11-2018;1106,8;2600
02-11-2018;1108,65;2600
03-11-2018;1103,94;2600
04-11-2018;1106,52;2600
05-11-2018;1114,07;2600
06-11-2018;1121,25;2600
07-11-2018;1133,24;2600
08-11-2018;1119,98;2600
09-11-2018;1108,16;2600
10-11-2018;1112,26;2600
11-11-2018;1112,61;2600
12-11-2018;1105,67;2600
13-11-2018;1103,63;2600
14-11-2018;995,84;2600
15-11-2018;980,16;2600
