date;dca;dva (no withdraw);dva (crypto ptf + cash);lump-sum;lump-sum mid-year
01-01-2020;0;0;0;0;0
02-01-2020;0;0;0;0;0
03-01-2020;0;0;0;0;0
04-01-2020;0;0;0;0;0
05-01-2020;0;0;0;0;0
06-01-2020;0;0;0;0;0
07-01-2020;50;50;50;2600;0
08-01-2020;49;49;49;2573;0
09-01-2020;48;48;48;2509;0
10-01-2020;50;50;50;2601;0
11-01-2020;49;49;49;2560;0
12-01-2020;50;50;50;2609;0
13-01-2020;50;50;50;2594;0
14-01-2020;104;100;100;2811;0
15-01-2020;104;100;100;2805;0
16-01-2020;103;99;99;2778;0
17-01-2020;105;101;101;2844;0
18-01-2020;105;101;101;2848;0
19-01-2020;103;99;99;2773;0
20-01-2020;102;98;98;2757;0
21-01-2020;153;150;150;2785;0
22-01-2020;152;149;149;2765;0
23-01-2020;147;144;144;2677;0
24-01-2020;148;145;145;2690;0
25-01-2020;146;144;144;2665;0
26-01-2020;150;147;147;2738;0
27-01-2020;156;153;153;2838;0
28-01-2020;214;200;200;2981;0
29-01-2020;213;199;199;2967;0
30-01-2020;217;203;203;3028;0
31-01-2020;214;200;200;2978;0
01-02-2020;215;201;201;2991;0
02-02-2020;214;200;200;2976;0
03-02-2020;212;199;199;2960;0
04-02-2020;260;250;250;2924;0
05-02-2020;272;262;262;3062;0
06-02-2020;275;265;265;3099;0
07-02-2020;277;267;267;3120;0
08-02-2020;279;269;269;3142;0
09-02-2020;286;275;275;3222;0
10-02-2020;279;268;268;3139;0
11-02-2020;339;300;300;3251;0
12-02-2020;343;303;303;3289;0
13-02-2020;339;300;300;3253;0
14-02-2020;342;303;303;3284;0
15-02-2020;328;291;291;3150;0
16-02-2020;330;292;292;3164;0
17-02-2020;322;285;285;3086;0
18-02-2020;387;350;350;3230;0
19-02-2020;367;332;332;3068;0
20-02-2020;366;332;332;3060;0
21-02-2020;369;334;334;3085;0
22-02-2020;368;333;333;3078;0
23-02-2020;378;342;342;3161;0
24-02-2020;368;333;333;3073;0
25-02-2020;406;400;400;2975;0
26-02-2020;383;378;378;2809;0
27-02-2020;382;376;376;2798;0
28-02-2020;377;371;371;2762;0
29-02-2020;374;368;368;2739;0
01-03-2020;372;367;367;2727;0
02-03-2020;386;380;380;2825;0
03-03-2020;432;450;450;2799;0
04-03-2020;430;448;448;2788;0
05-03-2020;446;465;465;2891;0
06-03-2020;449;467;467;2905;0
07-03-2020;438;456;456;2838;0
08-03-2020;399;415;415;2582;0
09-03-2020;390;406;406;2524;0
10-03-2020;439;500;500;2519;0
11-03-2020;439;500;500;2520;0
12-03-2020;276;314;314;1583;0
13-03-2020;309;352;352;1772;0
14-03-2020;289;329;329;1656;0
15-03-2020;299;341;341;1717;0
16-03-2020;278;317;317;1597;0
17-03-2020;340;550;550;1664;0
18-03-2020;341;551;551;1668;0
19-03-2020;403;652;652;1972;0
20-03-2020;403;652;652;1974;0
21-03-2020;402;651;651;1970;0
22-03-2020;379;614;614;1857;0
23-03-2020;417;675;675;2043;0
24-03-2020;488;709;709;2145;0
25-03-2020;484;703;704;2128;0
26-03-2020;487;707;707;2139;0
27-03-2020;469;681;685;2061;0
28-03-2020;452;657;665;1988;0
29-03-2020;429;623;636;1886;0
30-03-2020;466;677;682;2048;0
31-03-2020;517;678;759;2051;0
01-04-2020;530;695;776;2104;0
02-04-2020;545;715;795;2164;0
03-04-2020;540;709;789;2144;0
04-04-2020;551;723;802;2187;0
05-04-2020;545;715;794;2163;0
06-04-2020;584;765;843;2316;0
07-04-2020;626;755;833;2286;0
08-04-2020;640;772;849;2336;0
09-04-2020;637;769;846;2326;0
10-04-2020;599;723;803;2187;0
11-04-2020;598;722;802;2185;0
12-04-2020;608;734;813;2220;0
13-04-2020;597;720;801;2180;0
14-04-2020;647;750;883;2179;0
15-04-2020;628;728;861;2115;0
16-04-2020;673;780;913;2267;0
17-04-2020;671;778;911;2260;0
18-04-2020;686;796;929;2311;0
19-04-2020;680;788;921;2290;0
20-04-2020;650;754;888;2192;0
21-04-2020;700;800;933;2191;0
22-04-2020;724;828;961;2267;0
23-04-2020;756;864;997;2366;0
24-04-2020;769;878;1011;2405;0
25-04-2020;771;880;1014;2411;0
26-04-2020;782;893;1026;2446;0
27-04-2020;793;906;1040;2483;0
28-04-2020;845;908;1041;2486;0
29-04-2020;952;1023;1149;2803;0
30-04-2020;937;1007;1134;2758;0
01-05-2020;959;1031;1156;2823;0
02-05-2020;972;1045;1170;2863;0
03-05-2020;963;1035;1160;2834;0
04-05-2020;964;1036;1161;2839;0
05-05-2020;1024;1047;1171;2867;0
06-05-2020;1054;1078;1198;2952;0
07-05-2020;1132;1157;1266;3169;0
08-05-2020;1120;1144;1255;3135;0
09-05-2020;1091;1116;1230;3055;0
10-05-2020;996;1018;1147;2789;0
11-05-2020;978;1000;1131;2740;0
12-05-2020;1051;1024;1221;2804;0
13-05-2020;1107;1078;1272;2952;0
14-05-2020;1162;1132;1322;3100;0
15-05-2020;1114;1085;1278;2971;0
16-05-2020;1120;1090;1283;2986;0
17-05-2020;1155;1124;1315;3080;0
18-05-2020;1162;1131;1321;3098;0
19-05-2020;1212;1131;1321;3099;0
20-05-2020;1186;1107;1300;3033;0
21-05-2020;1131;1056;1255;2892;0
22-05-2020;1144;1068;1265;2924;0
23-05-2020;1147;1071;1268;2933;0
24-05-2020;1095;1022;1225;2800;0
25-05-2020;1109;1036;1237;2837;0
26-05-2020;1151;1050;1371;2814;0
27-05-2020;1196;1091;1412;2924;0
28-05-2020;1240;1132;1453;3034;0
29-05-2020;1229;1122;1443;3006;0
30-05-2020;1263;1153;1474;3089;0
31-05-2020;1232;1124;1445;3013;0
01-06-2020;1324;1208;1529;3238;0
02-06-2020;1291;1133;1454;3035;0
03-06-2020;1308;1148;1468;3076;0
04-06-2020;1328;1165;1485;3121;0
05-06-2020;1309;1149;1469;3078;0
06-06-2020;1308;1147;1468;3075;0
07-06-2020;1322;1160;1480;3108;0
08-06-2020;1324;1161;1482;3112;0
09-06-2020;1377;1164;1504;3120;0
10-06-2020;1387;1173;1512;3143;0
11-06-2020;1310;1108;1448;2969;0
12-06-2020;1333;1127;1467;3019;0
13-06-2020;1332;1126;1466;3018;0
14-06-2020;1320;1116;1456;2990;0
15-06-2020;1329;1123;1463;3010;0
16-06-2020;1391;1200;1554;3038;0
17-06-2020;1382;1193;1546;3019;0
18-06-2020;1372;1184;1538;2998;0
19-06-2020;1354;1169;1522;2958;0
20-06-2020;1361;1174;1528;2972;0
21-06-2020;1357;1171;1524;2963;0
22-06-2020;1407;1214;1568;3073;0
23-06-2020;1454;1250;1604;3067;0
24-06-2020;1406;1209;1563;2966;0
25-06-2020;1399;1203;1556;2951;0
26-06-2020;1384;1189;1543;2918;0
27-06-2020;1366;1174;1528;2881;0
28-06-2020;1381;1187;1541;2912;0
29-06-2020;1388;1193;1547;2927;0
30-06-2020;1430;1300;1654;2910;0
01-07-2020;1444;1313;1666;2939;0
02-07-2020;1428;1298;1652;2906;0
03-07-2020;1422;1293;1646;2894;0
04-07-2020;1429;1299;1653;2909;0
05-07-2020;1420;1291;1645;2890;0
06-07-2020;1467;1334;1687;2986;0
07-07-2020;1498;1350;1704;2947;2600
08-07-2020;1526;1376;1729;3003;2649
09-07-2020;1502;1354;1707;2955;2607
10-07-2020;1502;1354;1707;2955;2607
11-07-2020;1496;1348;1702;2943;2597
12-07-2020;1502;1354;1707;2954;2607
13-07-2020;1496;1349;1702;2944;2598
14-07-2020;1546;1400;1754;2944;2597
