date;lumpsum1 crypto;lumpsum2 crypto;savings1;savings2
01-01-2017;0;0;0;0
02-01-2017;0;0;0;0
03-01-2017;2600;0;2600;0
04-01-2017;2876.21;0;2600;0
05-01-2017;2524.13;0;2600;0
06-01-2017;2247.21;0;2600;0
07-01-2017;2263.11;0;2600;0
08-01-2017;2269.62;0;2600;0
09-01-2017;2248.77;0;2600;0
10-01-2017;2260.85;0;2600;0
11-01-2017;1937.24;0;2600;0
12-01-2017;2004.68;0;2600;0
13-01-2017;2052.38;0;2600;0
14-01-2017;2038.5;0;2600;0
15-01-2017;2046.94;0;2600;0
16-01-2017;2071.19;0;2600;0
17-01-2017;2261.49;0;2600;0
18-01-2017;2208.39;0;2600;0
19-01-2017;2239.41;0;2600;0
20-01-2017;2229.33;0;2600;0
21-01-2017;2296;0;2600;0
22-01-2017;2303.18;0;2600;0
23-01-2017;2294.06;0;2600;0
24-01-2017;2223.51;0;2600;0
25-01-2017;2245.56;0;2600;0
26-01-2017;2285.53;0;2600;0
27-01-2017;2290.92;0;2600;0
28-01-2017;2295.5;0;2600;0
29-01-2017;2290.28;0;2600;0
30-01-2017;2292.49;0;2600;0
31-01-2017;2417.08;0;2600;0
01-02-2017;2463.46;0;2600;0
02-02-2017;2520.19;0;2600;0
03-02-2017;2565.3;0;2600;0
04-02-2017;2597.66;0;2600;0
05-02-2017;2558.9;0;2600;0
06-02-2017;2585.83;0;2600;0
07-02-2017;2643.61;0;2600;0
08-02-2017;2647.9;0;2600;0
09-02-2017;2476.81;0;2600;0
10-02-2017;2462.59;0;2600;0
11-02-2017;2501.89;0;2600;0
12-02-2017;2488.76;0;2600;0
13-02-2017;2467.49;0;2600;0
14-02-2017;2502.14;0;2600;0
15-02-2017;2509.43;0;2600;0
16-02-2017;2559.15;0;2600;0
17-02-2017;2605.9;0;2600;0
18-02-2017;2626.35;0;2600;0
19-02-2017;2610.04;0;2600;0
20-02-2017;2690.02;0;2600;0
21-02-2017;2777.99;0;2600;0
22-02-2017;2783.32;0;2600;0
23-02-2017;2906.07;0;2600;0
24-02-2017;2923.41;0;2600;0
25-02-2017;2849.08;0;2600;0
26-02-2017;2902.28;0;2600;0
27-02-2017;2939.07;0;2600;0
28-02-2017;2939.07;0;2600;0
01-03-2017;3045.01;0;2600;0
02-03-2017;3116.02;0;2600;0
03-03-2017;3175.75;0;2600;0
04-03-2017;3126.33;0;2600;0
05-03-2017;3156.15;0;2600;0
06-03-2017;3170.37;0;2600;0
07-03-2017;3047.6;0;2600;0
08-03-2017;2864.42;0;2600;0
09-03-2017;2960.29;0;2600;0
10-03-2017;2781.53;0;2600;0
11-03-2017;2928.76;0;2600;0
12-03-2017;3042.22;0;2600;0
13-03-2017;3068.47;0;2600;0
14-03-2017;3088.6;0;2600;0
15-03-2017;3112.53;0;2600;0
16-03-2017;2958.6;0;2600;0
17-03-2017;2740.46;0;2600;0
18-03-2017;2425.59;0;2600;0
19-03-2017;2582.32;0;2600;0
20-03-2017;2625.88;0;2600;0
21-03-2017;2791.04;0;2600;0
22-03-2017;2613.2;0;2600;0
23-03-2017;2586.92;0;2600;0
24-03-2017;2335.18;0;2600;0
25-03-2017;2423;0;2600;0
26-03-2017;2407.92;0;2600;0
27-03-2017;2604.81;0;2600;0
28-03-2017;2608.24;0;2600;0
29-03-2017;2590.36;0;2600;0
30-03-2017;2556.64;0;2600;0
31-03-2017;2669.62;0;2600;0
01-04-2017;2691.31;0;2600;0
02-04-2017;2745.29;0;2600;0
03-04-2017;2849.01;0;2600;0
04-04-2017;2822.7;0;2600;0
05-04-2017;2801.61;0;2600;0
06-04-2017;2945.82;0;2600;0
07-04-2017;2931.43;0;2600;0
08-04-2017;2929.06;0;2600;0
09-04-2017;2958.75;0;2600;0
10-04-2017;2956.91;0;2600;0
11-04-2017;3001.44;0;2600;0
12-04-2017;2989.89;0;2600;0
13-04-2017;2912.45;0;2600;0
14-04-2017;2908.11;0;2600;0
15-04-2017;2920.52;0;2600;0
16-04-2017;2946.47;0;2600;0
17-04-2017;2973.8;0;2600;0
18-04-2017;3018.03;0;2600;0
19-04-2017;3014.59;0;2600;0
20-04-2017;3061.4;0;2600;0
21-04-2017;3043.89;0;2600;0
22-04-2017;3067.95;0;2600;0
23-04-2017;3006.92;0;2600;0
24-04-2017;3113.88;0;2600;0
25-04-2017;3152.09;0;2600;0
26-04-2017;3190.92;0;2600;0
27-04-2017;3282.21;0;2600;0
28-04-2017;3279.09;0;2600;0
29-04-2017;3292.32;0;2600;0
30-04-2017;3357.33;0;2600;0
01-05-2017;3540.93;0;2600;0
02-05-2017;3618.69;0;2600;0
03-05-2017;3711.52;0;2600;0
04-05-2017;3830.03;0;2600;0
05-05-2017;3874.32;0;2600;0
06-05-2017;3932.48;0;2600;0
07-05-2017;3977.09;0;2600;0
08-05-2017;4292.53;0;2600;0
09-05-2017;4372.26;0;2600;0
10-05-2017;4451.39;0;2600;0
11-05-2017;4604.42;0;2600;0
12-05-2017;4294.74;0;2600;0
13-05-2017;4495.68;0;2600;0
14-05-2017;4505.64;0;2600;0
15-05-2017;4330.09;0;2600;0
16-05-2017;4320.17;0;2600;0
17-05-2017;4580.81;0;2600;0
18-05-2017;4704.26;0;2600;0
19-05-2017;4950.99;0;2600;0
20-05-2017;5192.65;0;2600;0
21-05-2017;5084.23;0;2600;0
22-05-2017;5413.51;0;2600;0
23-05-2017;5779.71;0;2600;0
24-05-2017;6086.63;0;2600;0
25-05-2017;5741.25;0;2600;0
26-05-2017;5485.79;0;2600;0
27-05-2017;5078.42;0;2600;0
28-05-2017;5369.67;0;2600;0
29-05-2017;5618.28;0;2600;0
30-05-2017;5418.67;0;2600;0
31-05-2017;5695;0;2600;0
01-06-2017;5997.56;0;2600;0
02-06-2017;6198.49;0;2600;0
03-06-2017;6265.24;0;2600;0
04-06-2017;6256.42;0;2600;0
05-06-2017;6692.32;0;2600;0
06-06-2017;7131.67;0;2600;0
07-06-2017;6805.27;0;2600;0
08-06-2017;6988.25;0;2600;0
09-06-2017;7033.56;0;2600;0
10-06-2017;7342.17;0;2600;0
11-06-2017;7368.07;0;2600;0
12-06-2017;6624.61;0;2600;0
13-06-2017;6767.56;0;2600;0
14-06-2017;6242.87;0;2600;0
15-06-2017;6138.78;0;2600;0
16-06-2017;6273.24;0;2600;0
17-06-2017;6615.27;0;2600;0
18-06-2017;6347.29;0;2600;0
19-06-2017;6450.18;0;2600;0
20-06-2017;6779.44;0;2600;0
21-06-2017;6698.02;0;2600;0
22-06-2017;6738.64;0;2600;0
23-06-2017;6837.03;0;2600;0
24-06-2017;6497.81;0;2600;0
25-06-2017;6449.71;0;2600;0
26-06-2017;6173.33;0;2600;0
27-06-2017;6357.65;0;2600;0
28-06-2017;6413.3;0;2600;0
29-06-2017;6324.95;0;2600;0
30-06-2017;6179.28;0;2600;0
01-07-2017;6063.99;0;2600;0
02-07-2017;6243.12;0;2600;0
03-07-2017;6386.57;0;2600;0
04-07-2017;6480.17;2600;2600;2600
05-07-2017;6481.05;2600.35;2600;2600
06-07-2017;6497.41;2606.92;2600;2600
07-07-2017;6273.49;2517.07;2600;2600
08-07-2017;6404.7;2569.72;2600;2600
09-07-2017;6272.94;2516.85;2600;2600
10-07-2017;5909.58;2371.06;2600;2600
11-07-2017;5822.98;2336.32;2600;2600
12-07-2017;5975.04;2397.33;2600;2600
13-07-2017;5873.06;2356.41;2600;2600
14-07-2017;5562.81;2231.93;2600;2600
15-07-2017;4978.77;1997.6;2600;2600
16-07-2017;4806.8;1928.6;2600;2600
17-07-2017;5550.53;2227.01;2600;2600
18-07-2017;5775.87;2317.42;2600;2600
19-07-2017;5662.67;2272;2600;2600
20-07-2017;7018.09;2815.82;2600;2600
21-07-2017;6644.87;2666.08;2600;2600
22-07-2017;6999.46;2808.35;2600;2600
23-07-2017;6800.89;2728.68;2600;2600
24-07-2017;6861.81;2753.12;2600;2600
25-07-2017;6417.5;2574.86;2600;2600
26-07-2017;6300.36;2527.86;2600;2600
27-07-2017;6654.88;2670.1;2600;2600
28-07-2017;6996.69;2807.24;2600;2600
29-07-2017;6791.05;2724.73;2600;2600
30-07-2017;6867.59;2755.44;2600;2600
31-07-2017;7161.91;2873.53;2600;2600
01-08-2017;6770.65;2716.55;2600;2600
02-08-2017;6751.75;2708.96;2600;2600
03-08-2017;6986.03;2802.96;2600;2600
04-08-2017;7213.09;2894.06;2600;2600
05-08-2017;8102.36;3250.86;2600;2600
06-08-2017;8005.29;3211.91;2600;2600
07-08-2017;8416.27;3376.81;2600;2600
08-08-2017;8518.4;3417.78;2600;2600
09-08-2017;8325.44;3340.36;2600;2600
10-08-2017;8422.1;3379.15;2600;2600
11-08-2017;9092.98;3648.32;2600;2600
12-08-2017;9676.05;3882.26;2600;2600
13-08-2017;10145.69;4070.69;2600;2600
14-08-2017;10773.05;4322.4;2600;2600
15-08-2017;10416.37;4179.29;2600;2600
16-08-2017;10901.32;4373.87;2600;2600
17-08-2017;10789.39;4328.96;2600;2600
18-08-2017;10363.29;4158;2600;2600
19-08-2017;10445.68;4191.06;2600;2600
20-08-2017;10181.56;4085.08;2600;2600
21-08-2017;9967.55;3999.22;2600;2600
22-08-2017;10213.59;4097.94;2600;2600
23-08-2017;10340.62;4148.9;2600;2600
24-08-2017;10796.84;4331.95;2600;2600
25-08-2017;10888.8;4368.84;2600;2600
26-08-2017;10840.97;4349.66;2600;2600
27-08-2017;10916.89;4380.12;2600;2600
28-08-2017;10916.34;4379.9;2600;2600
29-08-2017;11405.44;4576.13;2600;2600
30-08-2017;11371.26;4562.42;2600;2600
31-08-2017;11715.22;4700.43;2600;2600
01-09-2017;12185.03;4888.93;2600;2600
02-09-2017;11404.82;4575.88;2600;2600
03-09-2017;11415.25;4580.07;2600;2600
04-09-2017;10551.81;4233.64;2600;2600
05-09-2017;10901.07;4373.77;2600;2600
06-09-2017;11450.52;4594.22;2600;2600
07-09-2017;11457.4;4596.98;2600;2600
08-09-2017;10532.98;4226.08;2600;2600
09-09-2017;10526.28;4223.4;2600;2600
10-09-2017;10269.43;4120.34;2600;2600
11-09-2017;10364.9;4158.65;2600;2600
12-09-2017;10289.04;4128.21;2600;2600
13-09-2017;9670.77;3880.14;2600;2600
14-09-2017;7858.36;3152.96;2600;2600
15-09-2017;9060.35;3635.23;2600;2600
16-09-2017;9029.26;3622.76;2600;2600
17-09-2017;8924.25;3580.62;2600;2600
18-09-2017;10125.61;4062.64;2600;2600
19-09-2017;9776.33;3922.5;2600;2600
20-09-2017;9728.95;3903.49;2600;2600
21-09-2017;9044.21;3628.75;2600;2600
22-09-2017;9043.36;3628.41;2600;2600
23-09-2017;9446.12;3790.01;2600;2600
24-09-2017;9173.23;3680.52;2600;2600
25-09-2017;9779.07;3923.6;2600;2600
26-09-2017;9695.08;3889.9;2600;2600
27-09-2017;10463.04;4198.02;2600;2600
28-09-2017;10398.43;4172.1;2600;2600
29-09-2017;10369.39;4160.45;2600;2600
30-09-2017;10806.87;4335.98;2600;2600
01-10-2017;10968.85;4400.96;2600;2600
02-10-2017;10982.75;4406.54;2600;2600
03-10-2017;10753.99;4314.76;2600;2600
04-10-2017;10534.5;4226.69;2600;2600
05-10-2017;10781.22;4325.68;2600;2600
06-10-2017;10886.83;4368.06;2600;2600
07-10-2017;11026.51;4424.1;2600;2600
08-10-2017;11483.8;4607.57;2600;2600
09-10-2017;11886.16;4769.01;2600;2600
10-10-2017;11911;4778.98;2600;2600
11-10-2017;12021.81;4823.44;2600;2600
12-10-2017;13567.18;5443.48;2600;2600
13-10-2017;14066.09;5643.65;2600;2600
14-10-2017;14525.84;5828.11;2600;2600
15-10-2017;14143.25;5674.61;2600;2600
16-10-2017;14261.32;5721.98;2600;2600
17-10-2017;13962.22;5601.98;2600;2600
18-10-2017;13925.31;5587.17;2600;2600
19-10-2017;14218.8;5704.92;2600;2600
20-10-2017;14973.34;6007.66;2600;2600
21-10-2017;15023.53;6027.8;2600;2600
22-10-2017;14965.79;6004.63;2600;2600
23-10-2017;14771.26;5926.58;2600;2600
24-10-2017;13765.77;5523.16;2600;2600
25-10-2017;14324.11;5747.17;2600;2600
26-10-2017;14707.77;5901.11;2600;2600
27-10-2017;14399.08;5777.26;2600;2600
28-10-2017;14329.81;5749.46;2600;2600
29-10-2017;15328.03;6149.97;2600;2600
30-10-2017;15269.94;6126.67;2600;2600
31-10-2017;16111.51;6464.32;2600;2600
01-11-2017;16856.04;6763.04;2600;2600
02-11-2017;17631.15;7074.04;2600;2600
03-11-2017;17953.11;7203.22;2600;2600
04-11-2017;18382;7375.3;2600;2600
05-11-2017;18450.4;7402.74;2600;2600
06-11-2017;17492.31;7018.33;2600;2600
07-11-2017;17795.24;7139.88;2600;2600
08-11-2017;18580.62;7454.99;2600;2600
09-11-2017;17793.25;7139.08;2600;2600
10-11-2017;16484.49;6613.97;2600;2600
11-11-2017;15835.53;6353.59;2600;2600
