date;dva (no withdraw);dva (crypto ptf + cash);savings;dva (crypto ptf);no withdraw;full adjustment
01-01-2020;0;0;0;0;0;0
02-01-2020;0;0;0;0;0;0
03-01-2020;0;0;0;0;0;0
04-01-2020;0;0;0;0;0;0
05-01-2020;0;0;0;0;0;0
06-01-2020;0;0;0;0;0;0
07-01-2020;50;50;50;50;0.00612468;0.00612468
08-01-2020;49.49;49.49;50;49.49;0.00612468;0.00612468
09-01-2020;48.26;48.26;50;48.26;0.00612468;0.00612468
10-01-2020;50.02;50.02;50;50.02;0.00612468;0.00612468
11-01-2020;49.23;49.23;50;49.23;0.00612468;0.00612468
12-01-2020;50.18;50.18;50;50.18;0.00612468;0.00612468
13-01-2020;49.88;49.88;50;49.88;0.00612468;0.00612468
14-01-2020;100;100;100;100;0.0113279;0.0113279
15-01-2020;99.76;99.76;100;99.76;0.0113279;0.0113279
16-01-2020;98.82;98.82;100;98.82;0.0113279;0.0113279
17-01-2020;101.15;101.15;100;101.15;0.0113279;0.0113279
18-01-2020;101.3;101.3;100;101.3;0.0113279;0.0113279
19-01-2020;98.62;98.62;100;98.62;0.0113279;0.0113279
20-01-2020;98.07;98.07;100;98.07;0.0113279;0.0113279
21-01-2020;150;150;150;150;0.0171509;0.0171509
22-01-2020;148.88;148.88;150;148.88;0.0171509;0.0171509
23-01-2020;144.18;144.18;150;144.18;0.0171509;0.0171509
24-01-2020;144.85;144.85;150;144.85;0.0171509;0.0171509
25-01-2020;143.52;143.52;150;143.52;0.0171509;0.0171509
26-01-2020;147.44;147.44;150;147.44;0.0171509;0.0171509
27-01-2020;152.81;152.81;150;152.81;0.0171509;0.0171509
28-01-2020;200;200;200;200;0.02137074;0.02137074
29-01-2020;199.1;199.1;200;199.1;0.02137074;0.02137074
30-01-2020;203.21;203.21;200;203.21;0.02137074;0.02137074
31-01-2020;199.83;199.83;200;199.83;0.02137074;0.02137074
01-02-2020;200.73;200.73;200;200.73;0.02137074;0.02137074
02-02-2020;199.7;199.7;200;199.7;0.02137074;0.02137074
03-02-2020;198.61;198.61;200;198.61;0.02137074;0.02137074
04-02-2020;250;250;250;250;0.02723026;0.02723026
05-02-2020;261.78;261.78;250;261.78;0.02723026;0.02723026
06-02-2020;264.95;264.95;250;264.95;0.02723026;0.02723026
07-02-2020;266.75;266.75;250;266.75;0.02723026;0.02723026
08-02-2020;268.63;268.63;250;268.63;0.02723026;0.02723026
09-02-2020;275.48;275.48;250;275.48;0.02723026;0.02723026
10-02-2020;268.4;268.4;250;268.4;0.02723026;0.02723026
11-02-2020;300;300;300;300;0.02938803;0.02938803
12-02-2020;303.46;303.46;300;303.46;0.02938803;0.02938803
13-02-2020;300.18;300.18;300;300.18;0.02938803;0.02938803
14-02-2020;303.05;303.05;300;303.05;0.02938803;0.02938803
15-02-2020;290.63;290.63;300;290.63;0.02938803;0.02938803
16-02-2020;291.95;291.95;300;291.95;0.02938803;0.02938803
17-02-2020;284.77;284.77;300;284.77;0.02938803;0.02938803
18-02-2020;350;350;350;350;0.03450997;0.03450997
19-02-2020;332.45;332.45;350;332.45;0.03450997;0.03450997
20-02-2020;331.59;331.59;350;331.59;0.03450997;0.03450997
21-02-2020;334.28;334.28;350;334.28;0.03450997;0.03450997
22-02-2020;333.48;333.48;350;333.48;0.03450997;0.03450997
23-02-2020;342.49;342.49;350;342.49;0.03450997;0.03450997
24-02-2020;333.03;333.03;350;333.03;0.03450997;0.03450997
25-02-2020;400;400;400;400;0.04281874;0.04281874
26-02-2020;377.68;377.68;400;377.68;0.04281874;0.04281874
27-02-2020;376.14;376.14;400;376.14;0.04281874;0.04281874
28-02-2020;371.34;371.34;400;371.34;0.04281874;0.04281874
29-02-2020;368.22;368.22;400;368.22;0.04281874;0.04281874
01-03-2020;366.63;366.63;400;366.63;0.04281874;0.04281874
02-03-2020;379.79;379.79;400;379.79;0.04281874;0.04281874
03-03-2020;450;450;450;450;0.05120744;0.05120744
04-03-2020;448.33;448.33;450;448.33;0.05120744;0.05120744
05-03-2020;464.9;464.9;450;464.9;0.05120744;0.05120744
06-03-2020;467.14;467.14;450;467.14;0.05120744;0.05120744
07-03-2020;456.26;456.26;450;456.26;0.05120744;0.05120744
08-03-2020;415.2;415.2;450;415.2;0.05120744;0.05120744
09-03-2020;405.75;405.75;450;405.75;0.05120744;0.05120744
10-03-2020;500;500;500;500;0.06321329;0.06321329
11-03-2020;500.11;500.11;500;500.11;0.06321329;0.06321329
12-03-2020;314.22;314.22;500;314.22;0.06321329;0.06321329
