date;dva (no withdraw);dva (crypto ptf + cash);savings;dva (crypto ptf);no withdraw;full adjustment
01-01-2016;0;0;0;0;0;0
02-01-2016;0;0;0;0;0;0
03-01-2016;0;0;0;0;0;0
04-01-2016;0;0;0;0;0;0
05-01-2016;50;50;50;50;0.11575146;0.11575146
06-01-2016;49.67;49.67;50;49.67;0.11575146;0.11575146
07-01-2016;53.02;53.02;50;53.02;0.11575146;0.11575146
08-01-2016;52.46;52.46;50;52.46;0.11575146;0.11575146
09-01-2016;51.81;51.81;50;51.81;0.11575146;0.11575146
10-01-2016;51.86;51.86;50;51.86;0.11575146;0.11575146
11-01-2016;51.91;51.91;50;51.91;0.11575146;0.11575146
12-01-2016;100;100;100;100;0.22952099;0.22952099
13-01-2016;99.24;99.24;100;99.24;0.22952099;0.22952099
14-01-2016;98.76;98.76;100;98.76;0.22952099;0.22952099
15-01-2016;83.62;83.62;100;83.62;0.22952099;0.22952099
16-01-2016;88.95;88.95;100;88.95;0.22952099;0.22952099
17-01-2016;87.75;87.75;100;87.75;0.22952099;0.22952099
18-01-2016;88.86;88.86;100;88.86;0.22952099;0.22952099
19-01-2016;150;150;150;150;0.39458214;0.39458214
20-01-2016;165.82;165.82;150;165.82;0.39458214;0.39458214
21-01-2016;161.88;161.88;150;161.88;0.39458214;0.39458214
22-01-2016;150.92;150.92;150;150.92;0.39458214;0.39458214
23-01-2016;152.9;152.9;150;152.9;0.39458214;0.39458214
24-01-2016;159.01;159.01;150;159.01;0.39458214;0.39458214
25-01-2016;154.57;154.57;150;154.57;0.39458214;0.39458214
26-01-2016;200;200;200;200;0.510005;0.510005
27-01-2016;201.44;201.44;200;201.44;0.510005;0.510005
28-01-2016;193.95;193.95;200;193.95;0.510005;0.510005
29-01-2016;193.53;193.53;200;193.53;0.510005;0.510005
30-01-2016;192.91;192.91;200;192.91;0.510005;0.510005
31-01-2016;188.07;188.07;200;188.07;0.510005;0.510005
01-02-2016;190.26;190.26;200;190.26;0.510005;0.510005
02-02-2016;250;250;250;250;0.66764945;0.66764945
03-02-2016;247;247;250;247;0.66764945;0.66764945
04-02-2016;260.11;260.11;250;260.11;0.66764945;0.66764945
05-02-2016;258.08;258.08;250;258.08;0.66764945;0.66764945
06-02-2016;251.38;251.38;250;251.38;0.66764945;0.66764945
07-02-2016;251.45;251.45;250;251.45;0.66764945;0.66764945
08-02-2016;249.33;249.33;250;249.33;0.66764945;0.66764945
09-02-2016;300;300;300;300;0.79781082;0.79781082
10-02-2016;304.48;304.48;300;304.48;0.79781082;0.79781082
11-02-2016;302.89;302.89;300;302.89;0.79781082;0.79781082
12-02-2016;306.57;306.57;300;306.57;0.79781082;0.79781082
13-02-2016;312.63;312.63;300;312.63;0.79781082;0.79781082
14-02-2016;324.89;324.89;300;324.89;0.79781082;0.79781082
15-02-2016;319.27;319.27;300;319.27;0.79781082;0.79781082
16-02-2016;350;350;350;350;0.85892098;0.85892098
17-02-2016;357.59;357.59;350;357.59;0.85892098;0.85892098
18-02-2016;362.79;362.79;350;362.79;0.85892098;0.85892098
19-02-2016;361.42;361.42;350;361.42;0.85892098;0.85892098
20-02-2016;375.49;375.49;350;375.49;0.85892098;0.85892098
21-02-2016;376.89;376.89;350;376.89;0.85892098;0.85892098
22-02-2016;375.99;375.99;350;375.99;0.85892098;0.85892098
23-02-2016;400;400;400;400;0.95071496;0.95071496
24-02-2016;404.01;404.01;400;404.01;0.95071496;0.95071496
25-02-2016;403.62;403.62;400;403.62;0.95071496;0.95071496
26-02-2016;410.85;410.85;400;410.85;0.95071496;0.95071496
27-02-2016;411.2;411.2;400;411.2;0.95071496;0.95071496
28-02-2016;412.14;412.14;400;412.14;0.95071496;0.95071496
29-02-2016;416.13;416.13;400;416.13;0.95071496;0.95071496
01-03-2016;450;450;450;450;1.03419037;1.03419037
02-03-2016;438.49;438.49;450;438.49;1.03419037;1.03419037
