date;btc
03-08-2020;11246,348633
04-08-2020;11205,892578
05-08-2020;11747,022461
06-08-2020;11779,773438
07-08-2020;11601,472656
08-08-2020;11754,045898
09-08-2020;11675,739258
10-08-2020;11878,111328
11-08-2020;11410,525391
12-08-2020;11584,93457
13-08-2020;11784,137695
14-08-2020;11768,871094
15-08-2020;11865,698242
16-08-2020;11892,803711
17-08-2020;12254,402344
18-08-2020;11991,233398
19-08-2020;11758,283203
20-08-2020;11878,37207
21-08-2020;11592,489258
22-08-2020;11681,825195
23-08-2020;11664,847656
24-08-2020;11774,595703
25-08-2020;11366,134766
26-08-2020;11488,363281
27-08-2020;11323,397461
28-08-2020;11542,5
29-08-2020;11506,865234
30-08-2020;11711,505859
31-08-2020;11680,820313
01-09-2020;11970,478516
02-09-2020;11414,03418
03-09-2020;10245,296875
04-09-2020;10511,813477
05-09-2020;10169,567383
06-09-2020;10280,351563
07-09-2020;10369,563477
08-09-2020;10131,516602
09-09-2020;10242,347656
10-09-2020;10363,138672
11-09-2020;10400,915039
12-09-2020;10442,170898
13-09-2020;10323,755859
14-09-2020;10680,837891
15-09-2020;10796,951172
16-09-2020;10974,905273
17-09-2020;10948,990234
18-09-2020;10944,585938
19-09-2020;11094,34668
20-09-2020;10938,271484
21-09-2020;10462,259766
22-09-2020;10538,459961
23-09-2020;10225,864258
24-09-2020;10745,548828
25-09-2020;10702,290039
26-09-2020;10754,4375
27-09-2020;10774,426758
28-09-2020;10721,327148
29-09-2020;10848,830078
30-09-2020;10787,618164
01-10-2020;10623,330078
02-10-2020;10585,164063
03-10-2020;10565,493164
04-10-2020;10684,428711
05-10-2020;10804,000977
06-10-2020;10621,664063
07-10-2020;10679,136719
08-10-2020;10923,62793
09-10-2020;11079,46582
10-10-2020;11296,361328
11-10-2020;11384,181641
12-10-2020;11555,363281
13-10-2020;11425,899414
14-10-2020;11429,506836
15-10-2020;11495,349609
16-10-2020;11322,123047
17-10-2020;11358,101563
18-10-2020;11483,359375
19-10-2020;11742,037109
20-10-2020;11916,334961
21-10-2020;12823,689453
22-10-2020;12965,891602
23-10-2020;12931,539063
24-10-2020;13108,0625
25-10-2020;13031,173828
26-10-2020;13075,248047
27-10-2020;13654,21875
28-10-2020;13271,285156
29-10-2020;13437,882813
30-10-2020;13546,522461
31-10-2020;13780,995117
01-11-2020;13737,109375
02-11-2020;13550,489258
03-11-2020;13950,300781
04-11-2020;14133,707031
05-11-2020;15579,848633
06-11-2020;15565,880859
07-11-2020;14833,753906
08-11-2020;15479,567383
09-11-2020;15332,31543
10-11-2020;15290,902344
11-11-2020;15701,339844
12-11-2020;16276,34375
13-11-2020;16317,808594
14-11-2020;16068,138672
15-11-2020;15955,587891
16-11-2020;16716,111328
17-11-2020;17645,40625
18-11-2020;17804,005859
19-11-2020;17817,089844
20-11-2020;18621,314453
21-11-2020;18642,232422
22-11-2020;18370,001953
23-11-2020;18364,121094
24-11-2020;19107,464844
25-11-2020;18732,121094
26-11-2020;17150,623047
27-11-2020;17108,402344
28-11-2020;17717,414063
29-11-2020;18177,484375
30-11-2020;19625,835938
01-12-2020;18802,998047
02-12-2020;19201,091797
03-12-2020;19445,398438
04-12-2020;18699,765625
05-12-2020;19154,230469
06-12-2020;19345,121094
07-12-2020;19191,630859
08-12-2020;18321,144531
09-12-2020;18553,916016
10-12-2020;18264,992188
11-12-2020;18058,904297
12-12-2020;18803,65625
13-12-2020;19142,382813
14-12-2020;19246,644531
15-12-2020;19417,076172
16-12-2020;21310,597656
17-12-2020;22805,162109
18-12-2020;23137,960938
19-12-2020;23869,832031
20-12-2020;23477,294922
21-12-2020;22803,082031
22-12-2020;23783,029297
23-12-2020;23241,345703
24-12-2020;23735,949219
25-12-2020;24664,791016
26-12-2020;26437,037109
27-12-2020;26272,294922
28-12-2020;27084,808594
29-12-2020;27362,4375
30-12-2020;28840,953125
31-12-2020;29001,720703
